s,C,C,C,C,C,C,C,C,C,C,m/s,m/s,m/s,m/s,m/s,m/s,kW/m2,C,kW/m2,C,kW/m2,C,kW/m2,C,kW/m2,C,kW/m2,C,kW/m2,kW/m2,kW/m2,kg/s,kg/s,kW
Time,"TC_Z020","TC_Z040","TC_Z060","TC_Z080","TC_Z100","TC_Z115","TC_Z135","TC_Z150","TC_Z165","TC_Z175","W_Z040","W_Z080","W_Z115","W_Z135","W_Z150","W_Z170","HFLUX_OUT_Z040","TWALL_OUT_Z040","HFLUX_OUT_Z080","TWALL_OUT_Z080","HFLUX_OUT_Z100","TWALL_OUT_Z100","HFLUX_OUT_Z135","TWALL_OUT_Z135","HFLUX_OUT_Z150","TWALL_OUT_Z150","HFLUX_OUT_Z170","TWALL_OUT_Z170","HFLUX_IN_Z135","HFLUX_IN_Z150","HFLUX_IN_Z170","MFLOW_UP_Z080","MFLOW_UP_Z150","HRR_TOTAL"
 0.0000000E+000, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001,-1.8690437E-003, 4.8654144E-003, 7.2162926E-004, 7.2509211E-003, 0.0000000E+000,-5.3181273E-003,-1.1048328E-004, 2.0000000E+001,-1.2872437E-004, 2.0000000E+001,-1.2439108E-004, 2.0000000E+001,-8.8484479E-005, 2.0000000E+001,-4.6102611E-004, 2.0000000E+001,-4.5573649E-005, 2.0000000E+001,-9.0247890E-005,-4.7240197E-004,-4.9980590E-005, 5.1311565E-005, 0.0000000E+000, 0.0000000E+000
 5.0501017E-001, 2.0000800E+001, 2.0000011E+001, 1.9999997E+001, 1.9999994E+001, 2.0000003E+001, 2.0000000E+001, 1.9999994E+001, 1.9999997E+001, 2.0000003E+001, 1.9999992E+001,-8.1957876E-004, 4.3268175E-003,-3.0560446E-004, 6.1746121E-003, 1.7157191E-004,-3.9495134E-003, 3.6706912E-004, 2.0000005E+001, 2.1838608E-006, 2.0000000E+001,-2.1142570E-006, 2.0000000E+001,-1.1769995E-006, 2.0000000E+001,-1.3052757E-005, 1.9999999E+001,-5.3420274E-007, 2.0000000E+001,-1.2024221E-006,-1.2587760E-005,-6.1780918E-007, 5.6597466E-005, 5.2541189E-006, 1.3994208E-001
 1.0057972E+000, 3.8552232E+001, 2.0000944E+001, 2.0000055E+001, 1.9999978E+001, 1.9999999E+001, 1.9999996E+001, 1.9999983E+001, 1.9999988E+001, 2.0000001E+001, 1.9999978E+001, 7.9596835E-003, 8.2414507E-003, 9.7427664E-004, 6.9345850E-003, 4.8347804E-003, 2.0217708E-003, 1.5306604E-002, 2.0000491E+001, 1.1981011E-004, 2.0000004E+001, 4.1987026E-006, 2.0000000E+001,-5.7640956E-009, 2.0000000E+001,-4.4592547E-008, 1.9999999E+001,-2.2075116E-008, 2.0000000E+001,-2.3660749E-008, 1.1853586E-008,-8.1703417E-008, 1.5808709E-004, 1.1875096E-004, 4.6401544E-001
 1.5011100E+000, 1.5606710E+002, 4.3736088E+001, 2.0000280E+001, 1.9999927E+001, 1.9999943E+001, 1.9999967E+001, 1.9999950E+001, 1.9999929E+001, 1.9999939E+001, 1.9999920E+001, 3.2143682E-001, 2.4139388E-002, 7.6968747E-003, 1.1775605E-002, 1.9905361E-002, 2.1113454E-002, 8.7714602E-002, 2.0003282E+001, 1.4322344E-004, 2.0000014E+001, 1.0789928E-005, 2.0000001E+001,-1.2705779E-007, 2.0000000E+001,-2.8774371E-007, 1.9999999E+001,-3.0068172E-007, 2.0000000E+001,-1.3449871E-007,-2.5073584E-007,-3.2205091E-007, 5.1780185E-004, 5.1064143E-004, 7.4733092E-001
 2.0020484E+000, 1.6603933E+002, 1.1961410E+002, 7.7739457E+001, 1.9999807E+001, 1.9999795E+001, 1.9999893E+001, 1.9999924E+001, 1.9999814E+001, 1.9999779E+001, 1.9999778E+001, 1.1728447E+000, 6.8059120E-002, 1.6275349E-002, 4.6663560E-004, 2.1359249E-002, 4.2331258E-002, 6.8852474E-001, 2.0038687E+001, 7.4598437E-004, 2.0000038E+001, 6.4196562E-005, 2.0000002E+001,-2.0605377E-007, 2.0000000E+001,-7.2109915E-007, 1.9999999E+001,-9.6463547E-007, 2.0000000E+001,-1.9792155E-007,-7.1359643E-007,-9.0189706E-007, 1.0775360E-003, 9.8602287E-004, 1.0347291E+000
 2.5014417E+000, 2.6137914E+002, 1.0203883E+002, 9.6522074E+001, 9.2524494E+001, 2.6910867E+001, 1.9999770E+001, 1.9999965E+001, 1.9999818E+001, 1.9999614E+001, 1.9999560E+001, 8.5408610E-001, 7.1256858E-001, 2.6442900E-002,-9.5574133E-003,-2.3110059E-002, 3.5953603E-002, 3.8488951E-001, 2.0073468E+001, 3.0815977E-001, 2.0009653E+001, 2.4436156E-003, 2.0000044E+001, 1.8852932E-008, 2.0000000E+001,-5.3425221E-007, 1.9999999E+001,-1.6382013E-006, 2.0000000E+001, 1.7704167E-008,-5.1309740E-007,-1.5772875E-006, 3.5042078E-003, 2.0137041E-003, 1.4208031E+000
 3.0013453E+000, 2.6939657E+002, 7.0456862E+001, 1.1464576E+002, 9.5980823E+001, 7.4582850E+001, 1.9999637E+001, 2.0000029E+001, 1.9999961E+001, 1.9999696E+001, 1.9999484E+001, 8.4289081E-001, 8.0303620E-001, 2.4614403E-002,-1.0311146E-002,-3.4979852E-002,-4.4169857E-002, 3.8665269E-001, 2.0095625E+001, 4.1664608E-001, 2.0038820E+001, 9.3049243E-002, 2.0002415E+001, 2.6366900E-007, 2.0000000E+001, 1.9499412E-007, 1.9999999E+001,-1.2385022E-006, 2.0000000E+001, 2.4193949E-007, 2.5577547E-007,-1.1893271E-006, 5.9081477E-003, 2.1955533E-003, 1.7265025E+000
 3.5002192E+000, 2.4030882E+002, 1.6901436E+002, 1.1510357E+002, 1.0863059E+002, 9.7117637E+001, 5.2245045E+001, 2.0000104E+001, 2.0000121E+001, 1.9999968E+001, 1.9999738E+001, 1.4591155E+000, 9.8983061E-001, 3.7396184E-001,-1.2732401E-002,-3.6058980E-002,-7.9277219E-002, 9.9223873E-001, 2.0141850E+001, 4.3380670E-001, 2.0068576E+001, 4.1501696E-001, 2.0022562E+001, 9.9100111E-007, 2.0000000E+001, 1.1409972E-006, 1.9999999E+001, 2.7124315E-007, 2.0000000E+001, 8.7240229E-007, 1.1421128E-006, 2.7679778E-007, 9.0797803E-003, 2.4991258E-003, 1.8717534E+000
 4.0000290E+000, 1.1438950E+002, 2.4237292E+002, 1.6368027E+002, 1.0169551E+002, 1.0994863E+002, 7.8871880E+001, 2.0000192E+001, 2.0000309E+001, 2.0000256E+001, 2.0000202E+001, 2.0979758E+000, 7.5931018E-001, 5.0418338E-001,-1.4921092E-002,-3.9600277E-002,-8.4926319E-002, 1.7977918E+000, 2.0248563E+001, 4.2213678E-001, 2.0095983E+001, 4.8246341E-001, 2.0055696E+001, 9.1544898E-006, 2.0000000E+001, 8.4644532E-006, 1.9999999E+001, 5.2044733E-006, 2.0000000E+001, 8.0479435E-006, 7.6058586E-006, 4.7830496E-006, 8.3358317E-003, 2.7632006E-003, 2.2286567E+000
