s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_PROPANE,MLR_PRODUCTS
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.2281500E-006, 2.9434460E-011, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.2281206E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.0057971E+000, 3.0129840E-001, 0.0000000E+000,-1.0580184E-001, 2.5443552E-003,-2.5396054E-002,-2.1136686E-005, 0.0000000E+000, 0.0000000E+000, 1.6944177E-001, 1.7262372E-001, 0.0000000E+000, 6.9117284E-006, 0.0000000E+000
 2.0020485E+000, 8.9184147E-001, 0.0000000E+000,-2.7955817E-001, 7.2477082E-003,-1.7419423E-001,-5.9466148E-005, 0.0000000E+000, 0.0000000E+000, 4.4416882E-001, 4.4527731E-001, 0.0000000E+000, 2.0521099E-005, 0.0000000E+000
 3.0013454E+000, 1.5737308E+000, 0.0000000E+000,-4.6043912E-001, 1.2443434E-002,-3.6319828E-001,-9.8440697E-005, 0.0000000E+000, 0.0000000E+000, 7.6202156E-001, 7.6243841E-001, 0.0000000E+000, 3.4107860E-005, 0.0000000E+000
 4.0000291E+000, 2.0503723E+000, 0.0000000E+000,-6.1715853E-001, 6.4233290E-003,-6.2335997E-001,-1.3201809E-004, 0.0000000E+000, 0.0000000E+000, 8.1766312E-001, 8.1614511E-001, 0.0000000E+000, 4.7719703E-005, 0.0000000E+000
 5.0006886E+000, 2.4340697E+000, 0.0000000E+000,-7.4985421E-001,-1.2319216E-001,-9.1373210E-001,-1.5210882E-004, 0.0000000E+000, 0.0000000E+000, 6.5225398E-001, 6.4713910E-001, 0.0000000E+000, 6.1339762E-005, 0.0000000E+000
 6.0012484E+000, 3.4678026E+000, 0.0000000E+000,-1.1015874E+000,-2.5195522E-001,-1.3560606E+000,-1.8311151E-004, 0.0000000E+000, 0.0000000E+000, 7.6603948E-001, 7.5801627E-001, 0.0000000E+000, 7.4976491E-005, 0.0000000E+000
 7.0005651E+000, 3.6906367E+000, 0.0000000E+000,-1.2205544E+000,-3.4554025E-001,-1.7223459E+000,-2.0147443E-004, 0.0000000E+000, 0.0000000E+000, 4.1102466E-001, 4.0199476E-001, 0.0000000E+000, 8.8598945E-005, 0.0000000E+000
 8.0012941E+000, 4.0315568E+000, 0.0000000E+000,-1.3924885E+000,-3.6946495E-001,-2.0876476E+000,-2.0864273E-004, 0.0000000E+000, 0.0000000E+000, 1.9365494E-001, 1.8174710E-001, 0.0000000E+000, 1.0222667E-004, 0.0000000E+000
 9.0008068E+000, 5.0432001E+000, 0.0000000E+000,-1.8442901E+000,-4.5178401E-001,-2.4179626E+000,-2.2409325E-004, 0.0000000E+000, 0.0000000E+000, 3.3806255E-001, 3.2893931E-001, 0.0000000E+000, 1.1585452E-004, 0.0000000E+000
 1.0000982E+001, 5.3627204E+000, 0.0000000E+000,-1.9453654E+000,-5.3415226E-001,-2.4734678E+000,-2.2765728E-004, 0.0000000E+000, 0.0000000E+000, 4.2038673E-001, 4.0950717E-001, 0.0000000E+000, 1.2947866E-004, 0.0000000E+000
 1.1001147E+001, 5.7015492E+000, 0.0000000E+000,-2.2052515E+000,-5.7797541E-001,-2.9199980E+000,-2.2811343E-004, 0.0000000E+000, 0.0000000E+000, 1.3244467E-002,-1.9038842E-003, 0.0000000E+000, 1.3627035E-004, 0.0000000E+000
 1.2000120E+001, 6.4461443E+000, 0.0000000E+000,-2.4615605E+000,-7.0332078E-001,-3.0608532E+000,-2.3495052E-004, 0.0000000E+000, 0.0000000E+000, 2.3914281E-001, 2.2017483E-001, 0.0000000E+000, 1.3627035E-004, 0.0000000E+000
 1.3001271E+001, 6.0987188E+000, 0.0000000E+000,-2.4436459E+000,-7.1844065E-001,-2.9531609E+000,-2.2793418E-004, 0.0000000E+000, 0.0000000E+000,-1.8313453E-003,-1.6756597E-002, 0.0000000E+000, 1.3627035E-004, 0.0000000E+000
 1.4000314E+001, 5.6437575E+000, 0.0000000E+000,-2.2803582E+000,-7.0797851E-001,-2.9604123E+000,-2.2230798E-004, 0.0000000E+000, 0.0000000E+000,-2.8771339E-001,-3.0521395E-001, 0.0000000E+000, 1.3627035E-004, 0.0000000E+000
 1.5001173E+001, 6.4382479E+000, 0.0000000E+000,-2.4800384E+000,-6.8482374E-001,-3.0024106E+000,-2.3574509E-004, 0.0000000E+000, 0.0000000E+000, 2.8699463E-001, 2.7073935E-001, 0.0000000E+000, 1.3627035E-004, 0.0000000E+000
 1.6000521E+001, 5.9136602E+000, 0.0000000E+000,-2.4363613E+000,-7.3625806E-001,-2.7906832E+000,-2.1906721E-004, 0.0000000E+000, 0.0000000E+000,-3.5183188E-002,-4.9861376E-002, 0.0000000E+000, 1.3627035E-004, 0.0000000E+000
 1.7000839E+001, 5.3866675E+000, 0.0000000E+000,-2.2418333E+000,-7.3078952E-001,-2.8391636E+000,-2.1833435E-004, 0.0000000E+000, 0.0000000E+000,-4.0725989E-001,-4.2533725E-001, 0.0000000E+000, 1.3627035E-004, 0.0000000E+000
 1.8001040E+001, 6.1195299E+000, 0.0000000E+000,-2.3843962E+000,-7.5242416E-001,-2.9205854E+000,-2.5588242E-004, 0.0000000E+000, 0.0000000E+000, 7.9460776E-002, 6.1868264E-002, 0.0000000E+000, 1.3627035E-004, 0.0000000E+000
 1.9000092E+001, 5.8741713E+000, 0.0000000E+000,-2.3109710E+000,-8.5672383E-001,-2.5113002E+000,-2.1810160E-004, 0.0000000E+000, 0.0000000E+000, 2.0942231E-001, 1.9495809E-001, 0.0000000E+000, 1.3627035E-004, 0.0000000E+000
 2.0001072E+001, 5.4524450E+000, 0.0000000E+000,-2.2814645E+000,-6.9516778E-001,-2.6691690E+000,-2.1333825E-004, 0.0000000E+000, 0.0000000E+000,-1.7625572E-001,-1.9356953E-001, 0.0000000E+000, 1.3627035E-004, 0.0000000E+000
 2.1000206E+001, 5.7895583E+000, 0.0000000E+000,-2.3614818E+000,-8.5433362E-001,-2.8766459E+000,-2.2371394E-004, 0.0000000E+000, 0.0000000E+000,-2.7775047E-001,-3.0312672E-001, 0.0000000E+000, 1.3627035E-004, 0.0000000E+000
 2.2001226E+001, 6.6481351E+000, 0.0000000E+000,-2.4868734E+000,-8.2800256E-001,-2.5462972E+000,-2.2633138E-004, 0.0000000E+000, 0.0000000E+000, 8.0648921E-001, 7.8673563E-001, 0.0000000E+000, 1.3627035E-004, 0.0000000E+000
 2.3000732E+001, 4.8523780E+000, 0.0000000E+000,-2.1719196E+000,-7.7005351E-001,-2.6318718E+000,-2.2375183E-004, 0.0000000E+000, 0.0000000E+000,-7.0174993E-001,-7.2169058E-001, 0.0000000E+000, 1.3627035E-004, 0.0000000E+000
 2.4001238E+001, 6.8461403E+000, 0.0000000E+000,-2.6702457E+000,-1.0193066E+000,-2.7890283E+000,-2.4986580E-004, 0.0000000E+000, 0.0000000E+000, 3.8895366E-001, 3.6730990E-001, 0.0000000E+000, 1.3627035E-004, 0.0000000E+000
 2.5000103E+001, 5.6049912E+000, 0.0000000E+000,-2.3413425E+000,-8.5042714E-001,-2.4952717E+000,-2.1502495E-004, 0.0000000E+000, 0.0000000E+000,-6.3146281E-002,-8.2265118E-002, 0.0000000E+000, 1.3627035E-004, 0.0000000E+000
 2.6000181E+001, 6.1650664E+000, 0.0000000E+000,-2.4222907E+000,-9.7127064E-001,-2.8068051E+000,-2.2180998E-004, 0.0000000E+000, 0.0000000E+000,-1.0783295E-002,-3.5521808E-002, 0.0000000E+000, 1.3627035E-004, 0.0000000E+000
 2.7000183E+001, 6.3364387E+000, 0.0000000E+000,-2.5067818E+000,-1.0133255E+000,-2.7661499E+000,-2.2235118E-004, 0.0000000E+000, 0.0000000E+000, 7.4375923E-002, 4.9959054E-002, 0.0000000E+000, 1.3627035E-004, 0.0000000E+000
 2.8000521E+001, 6.3182064E+000, 0.0000000E+000,-2.5246283E+000,-9.7946612E-001,-2.6973590E+000,-2.2570607E-004, 0.0000000E+000, 0.0000000E+000, 1.3621860E-001, 1.1652727E-001, 0.0000000E+000, 1.3627035E-004, 0.0000000E+000
 2.9000185E+001, 5.4225030E+000, 0.0000000E+000,-2.3352152E+000,-8.8512706E-001,-2.7095185E+000,-2.1086913E-004, 0.0000000E+000, 0.0000000E+000,-4.8364255E-001,-5.0756863E-001, 0.0000000E+000, 1.3627035E-004, 0.0000000E+000
 3.0001074E+001, 6.6273608E+000, 0.0000000E+000,-2.5286972E+000,-8.4183540E-001,-2.7887575E+000,-2.4824047E-004, 0.0000000E+000, 0.0000000E+000, 4.9035404E-001, 4.6782245E-001, 0.0000000E+000, 1.3627035E-004, 0.0000000E+000
 3.1000332E+001, 5.6631129E+000, 0.0000000E+000,-2.3490734E+000,-9.6769649E-001,-2.4870052E+000,-2.3073766E-004, 0.0000000E+000, 0.0000000E+000,-1.1939858E-001,-1.4089301E-001, 0.0000000E+000, 1.3627035E-004, 0.0000000E+000
 3.2001041E+001, 5.9970376E+000, 0.0000000E+000,-2.4162747E+000,-1.0095768E+000,-2.8182820E+000,-2.3368585E-004, 0.0000000E+000, 0.0000000E+000,-2.1938183E-001,-2.4732945E-001, 0.0000000E+000, 1.3627035E-004, 0.0000000E+000
 3.3000004E+001, 6.3483724E+000, 0.0000000E+000,-2.4760226E+000,-1.0679650E+000,-2.6052776E+000,-2.3183113E-004, 0.0000000E+000, 0.0000000E+000, 2.1987738E-001, 1.9887537E-001, 0.0000000E+000, 1.3627035E-004, 0.0000000E+000
 3.4000854E+001, 6.0000909E+000, 0.0000000E+000,-2.4326184E+000,-9.3643294E-001,-2.5734147E+000,-2.2267100E-004, 0.0000000E+000, 0.0000000E+000, 7.9019027E-002, 5.7402198E-002, 0.0000000E+000, 1.3627035E-004, 0.0000000E+000
 3.5000214E+001, 5.9952326E+000, 0.0000000E+000,-2.4481502E+000,-9.4384862E-001,-2.6620390E+000,-2.2428917E-004, 0.0000000E+000, 0.0000000E+000,-4.3271381E-002,-5.9029566E-002, 0.0000000E+000, 1.3627035E-004, 0.0000000E+000
 3.6001064E+001, 5.6263955E+000, 0.0000000E+000,-2.2843014E+000,-9.4615078E-001,-2.7920877E+000,-2.2054508E-004, 0.0000000E+000, 0.0000000E+000,-3.7241606E-001,-3.9636487E-001, 0.0000000E+000, 1.3627035E-004, 0.0000000E+000
 3.7000145E+001, 6.6242952E+000, 0.0000000E+000,-2.5493394E+000,-1.0992431E+000,-2.7235214E+000,-2.2880710E-004, 0.0000000E+000, 0.0000000E+000, 2.7421183E-001, 2.5196243E-001, 0.0000000E+000, 1.3627035E-004, 0.0000000E+000
 3.8000427E+001, 6.0693972E+000, 0.0000000E+000,-2.4099449E+000,-1.0211871E+000,-2.4603513E+000,-2.1185777E-004, 0.0000000E+000, 0.0000000E+000, 1.9874865E-001, 1.7770192E-001, 0.0000000E+000, 1.3627035E-004, 0.0000000E+000
 3.9000301E+001, 5.1456377E+000, 0.0000000E+000,-2.1509491E+000,-8.6210592E-001,-2.6962510E+000,-2.1387290E-004, 0.0000000E+000, 0.0000000E+000,-5.4290950E-001,-5.6388217E-001, 0.0000000E+000, 1.3627035E-004, 0.0000000E+000
 4.0000122E+001, 6.7332103E+000, 0.0000000E+000,-2.5841020E+000,-9.6259829E-001,-2.7285763E+000,-2.4416893E-004, 0.0000000E+000, 0.0000000E+000, 4.8097984E-001, 4.5768958E-001, 0.0000000E+000, 1.3627035E-004, 0.0000000E+000
 4.1001209E+001, 5.8172735E+000, 0.0000000E+000,-2.3721389E+000,-9.1344363E-001,-2.4717326E+000,-2.2369517E-004, 0.0000000E+000, 0.0000000E+000, 7.8066383E-002, 5.9734617E-002, 0.0000000E+000, 1.3627035E-004, 0.0000000E+000
 4.2000492E+001, 5.8116408E+000, 0.0000000E+000,-2.3839905E+000,-1.0015990E+000,-2.7960694E+000,-2.2617370E-004, 0.0000000E+000, 0.0000000E+000,-3.4607577E-001,-3.7024426E-001, 0.0000000E+000, 1.3627035E-004, 0.0000000E+000
 4.3001152E+001, 6.4277877E+000, 0.0000000E+000,-2.5085637E+000,-9.5234594E-001,-2.7032845E+000,-2.2249656E-004, 0.0000000E+000, 0.0000000E+000, 2.9007104E-001, 2.6337108E-001, 0.0000000E+000, 1.3627035E-004, 0.0000000E+000
 4.4000027E+001, 5.9412910E+000, 0.0000000E+000,-2.3903394E+000,-9.5596488E-001,-2.6560006E+000,-2.2425107E-004, 0.0000000E+000, 0.0000000E+000,-3.8386525E-002,-6.1238173E-002, 0.0000000E+000, 1.3627035E-004, 0.0000000E+000
