s,C,C,C,C,C,C,C,C,C,C,m/s,m/s,m/s,m/s,m/s,m/s,kW/m2,C,kW/m2,C,kW/m2,C,kW/m2,C,kW/m2,C,kW/m2,C,kW/m2,kW/m2,kW/m2,kg/s,kg/s,kW
Time,"TC_Z020","TC_Z040","TC_Z060","TC_Z080","TC_Z100","TC_Z115","TC_Z135","TC_Z150","TC_Z165","TC_Z175","W_Z040","W_Z080","W_Z115","W_Z135","W_Z150","W_Z170","HFLUX_OUT_Z040","TWALL_OUT_Z040","HFLUX_OUT_Z080","TWALL_OUT_Z080","HFLUX_OUT_Z100","TWALL_OUT_Z100","HFLUX_OUT_Z135","TWALL_OUT_Z135","HFLUX_OUT_Z150","TWALL_OUT_Z150","HFLUX_OUT_Z170","TWALL_OUT_Z170","HFLUX_IN_Z135","HFLUX_IN_Z150","HFLUX_IN_Z170","MFLOW_UP_Z080","MFLOW_UP_Z150","HRR_TOTAL"
 0.0000000E+000, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 4.0938929E-003,-4.2430834E-003, 1.5467856E-003, 4.4728706E-003,-8.4187330E-003, 4.0511168E-003,-2.1490440E-005, 2.0000000E+001,-2.1511442E-005, 2.0000000E+001,-2.1383976E-005, 2.0000000E+001,-2.1622944E-005, 2.0000000E+001,-2.0696973E-005, 2.0000000E+001,-1.5874640E-005, 2.0000000E+001,-2.4168512E-005,-2.3340089E-005,-1.8144364E-005, 5.7046622E-005, 5.1494362E-005, 0.0000000E+000
 5.0432865E-001, 2.0000282E+001, 2.0000023E+001, 1.9999994E+001, 2.0000017E+001, 1.9999992E+001, 1.9999993E+001, 1.9999997E+001, 2.0000006E+001, 2.0000000E+001, 2.0000002E+001, 5.2085938E-003,-4.4306595E-003, 1.4029814E-003, 3.7557249E-003,-7.5776004E-003, 4.2231130E-003, 8.3680336E-004, 2.0000010E+001, 2.6771347E-005, 2.0000000E+001, 3.4905315E-006, 2.0000000E+001,-9.2267126E-008, 2.0000000E+001,-1.1351253E-007, 2.0000000E+001,-7.6796755E-008, 2.0000000E+001,-1.2286328E-007,-1.4055016E-007,-6.6669526E-008, 5.1469703E-005, 4.6839084E-005, 1.4520190E-001
 1.0095004E+000, 2.9497610E+001, 2.0002585E+001, 2.0000397E+001, 2.0000070E+001, 1.9999981E+001, 1.9999983E+001, 1.9999994E+001, 2.0000013E+001, 2.0000000E+001, 2.0000000E+001, 2.9518444E-002, 4.7537784E-003, 2.4409596E-003, 2.6614944E-003,-6.1636651E-003, 4.3494137E-003, 2.1930171E-002, 2.0000715E+001, 5.7883992E-004, 2.0000020E+001, 7.6416951E-005, 2.0000003E+001, 5.2181757E-008, 2.0000000E+001,-1.8694631E-008, 2.0000000E+001,-1.0196533E-008, 2.0000000E+001,-6.7889456E-009,-6.3485742E-008, 2.7956374E-008, 2.2947194E-004, 3.9084664E-005, 4.9222240E-001
 1.5071106E+000, 2.1022967E+002, 5.3317918E+001, 2.0002133E+001, 2.0000119E+001, 1.9999923E+001, 1.9999965E+001, 1.9999993E+001, 2.0000015E+001, 2.0000001E+001, 1.9999995E+001, 3.2838161E-001, 3.8160238E-002, 6.8633399E-003, 1.9488629E-003,-5.0149774E-003, 4.2765316E-003, 1.6447678E-001, 2.0004531E+001, 9.9183109E-004, 2.0000075E+001, 1.3097476E-004, 2.0000010E+001, 6.8999291E-008, 2.0000000E+001,-2.0278605E-008, 2.0000000E+001,-1.6270241E-008, 2.0000000E+001,-1.0724837E-008,-7.5631372E-008, 3.2376122E-008, 9.4808403E-004, 3.3108215E-005, 7.4367369E-001
 2.0080609E+000, 3.0186016E+002, 8.7188470E+001, 6.9809063E+001, 2.0000295E+001, 1.9999896E+001, 1.9999955E+001, 1.9999993E+001, 2.0000015E+001, 2.0000002E+001, 1.9999988E+001, 6.7686102E-001, 1.5879983E-002, 1.1272344E-003, 1.4391547E-003,-4.0978942E-003, 4.0558096E-003, 4.3177766E-001, 2.0034589E+001, 1.4044209E-003, 2.0000160E+001, 1.9994375E-004, 2.0000022E+001, 7.6875125E-008, 2.0000000E+001,-1.8557444E-008, 2.0000000E+001,-2.1025962E-008, 2.0000000E+001,-1.5015734E-008,-7.7571118E-008, 2.9719647E-008, 2.0752034E-004, 2.8014872E-005, 1.0935754E+000
 2.5000034E+000, 1.9025926E+002, 1.2763398E+002, 8.0574675E+001, 2.9639280E+001, 1.9999950E+001, 1.9999969E+001, 1.9999993E+001, 2.0000014E+001, 2.0000003E+001, 1.9999982E+001, 1.3751186E+000, 8.9109149E-003, 3.8582246E-003, 1.1054645E-003,-3.3341677E-003, 3.7954292E-003, 8.8469371E-001, 2.0065947E+001, 9.9167080E-003, 2.0000441E+001, 4.0061293E-004, 2.0000042E+001, 7.9665133E-008, 2.0000000E+001,-1.5365270E-008, 2.0000000E+001,-2.4455164E-008, 2.0000000E+001,-1.9125650E-008,-7.4736872E-008, 2.3433145E-008, 1.7381182E-003, 2.4021235E-005, 1.3561428E+000
 3.0047990E+000, 1.7014918E+002, 1.6518571E+002, 1.0655621E+002, 4.3898351E+001, 2.0000134E+001, 2.0000011E+001, 1.9999993E+001, 2.0000012E+001, 2.0000005E+001, 1.9999976E+001, 1.2582662E+000,-4.1507238E-002,-2.4937953E-004, 8.6229640E-004,-2.7123950E-003, 3.5048041E-003, 1.3668460E+000, 2.0152830E+001, 7.0978516E-002, 2.0002224E+001, 7.7145236E-004, 2.0000083E+001, 7.9667853E-008, 2.0000000E+001,-1.2078108E-008, 2.0000000E+001,-2.6667720E-008, 2.0000000E+001,-2.2989968E-008,-6.9765442E-008, 1.5243505E-008, 2.4992261E-003, 2.0584416E-005, 1.7038756E+000
 3.5009046E+000, 4.7869535E+002, 1.2776036E+002, 1.4288064E+002, 1.1842070E+002, 2.0000687E+001, 2.0000162E+001, 1.9999993E+001, 2.0000010E+001, 2.0000007E+001, 1.9999970E+001, 6.3224865E-001, 4.9185152E-001,-9.1535330E-003, 6.9109542E-004,-2.2021385E-003, 3.2074071E-003, 9.0959350E-001, 2.0233677E+001, 6.7046364E-001, 2.0030750E+001, 1.6010885E-003, 2.0000167E+001, 7.8234375E-008, 2.0000000E+001,-9.2867428E-009, 2.0000000E+001,-2.8067600E-008, 2.0000000E+001,-2.6440163E-008,-6.3957407E-008, 6.4426962E-009, 3.5293985E-003, 1.7754628E-005, 1.9606823E+000
 4.0046770E+000, 2.2304105E+002, 2.6609182E+002, 2.3514485E+002, 1.3048106E+002, 4.2843940E+001, 2.0000480E+001, 1.9999993E+001, 2.0000008E+001, 2.0000008E+001, 1.9999965E+001, 1.4411789E+000, 4.5208302E-001,-2.3568540E-002, 5.7245771E-004,-1.7797739E-003, 2.9288752E-003, 2.6214693E+000, 2.0383799E+001, 8.5353514E-001, 2.0084720E+001, 1.4764734E-001, 2.0003278E+001, 7.5823099E-008, 2.0000000E+001,-7.2115070E-009, 2.0000000E+001,-2.9114689E-008, 2.0000000E+001,-2.9400619E-008,-5.8068642E-008,-2.1935197E-009, 4.2057793E-003, 1.5448488E-005, 2.3761090E+000
