s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_PROPANE,MLR_PRODUCTS
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.6391330E-007,-6.9801522E-011, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.6398310E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.0095004E+000, 3.1885706E-001, 0.0000000E+000,-1.2807671E-001, 2.9179825E-003,-1.9040252E-002,-2.1104192E-005, 0.0000000E+000, 0.0000000E+000, 1.6730035E-001, 1.7463697E-001, 0.0000000E+000, 7.0072875E-006, 0.0000000E+000
 2.0080609E+000, 9.1920975E-001, 0.0000000E+000,-3.1161827E-001, 8.1499870E-003,-1.1241113E-001,-5.9594906E-005, 0.0000000E+000, 0.0000000E+000, 4.9971019E-001, 5.0327074E-001, 0.0000000E+000, 2.0625149E-005, 0.0000000E+000
 3.0047989E+000, 1.5322512E+000, 0.0000000E+000,-4.5571570E-001,-1.5953105E-002,-2.9496689E-001,-9.8404720E-005, 0.0000000E+000, 0.0000000E+000, 7.6686089E-001, 7.6551710E-001, 0.0000000E+000, 3.4196065E-005, 0.0000000E+000
 4.0046768E+000, 2.1699884E+000, 0.0000000E+000,-6.6564279E-001,-9.9679270E-002,-5.8560555E-001,-1.3629745E-004, 0.0000000E+000, 0.0000000E+000, 8.2331215E-001, 8.1892445E-001, 0.0000000E+000, 4.7792063E-005, 0.0000000E+000
 5.0009613E+000, 2.6762568E+000, 0.0000000E+000,-8.5181846E-001,-2.4622948E-001,-9.1996191E-001,-1.6656441E-004, 0.0000000E+000, 0.0000000E+000, 6.7228714E-001, 6.5808041E-001, 0.0000000E+000, 6.1393745E-005, 0.0000000E+000
 6.0027928E+000, 3.3511393E+000, 0.0000000E+000,-1.0514526E+000,-3.2532701E-001,-1.2536303E+000,-2.0137745E-004, 0.0000000E+000, 0.0000000E+000, 7.3717869E-001, 7.2052807E-001, 0.0000000E+000, 7.5007586E-005, 0.0000000E+000
 7.0005713E+000, 3.8878349E+000, 0.0000000E+000,-1.2985550E+000,-4.8563316E-001,-1.6182774E+000,-2.2914370E-004, 0.0000000E+000, 0.0000000E+000, 5.0659076E-001, 4.8514018E-001, 0.0000000E+000, 8.8624742E-005, 0.0000000E+000
 8.0020456E+000, 4.0914636E+000, 0.0000000E+000,-1.4417030E+000,-2.5755405E-001,-1.8960240E+000,-2.3771588E-004, 0.0000000E+000, 0.0000000E+000, 5.0091708E-001, 4.9594479E-001, 0.0000000E+000, 1.0225598E-004, 0.0000000E+000
 9.0004721E+000, 5.0959171E+000, 0.0000000E+000,-1.8747163E+000,-5.5678039E-001,-2.3176490E+000,-2.7048288E-004, 0.0000000E+000, 0.0000000E+000, 3.6944162E-001, 3.4650098E-001, 0.0000000E+000, 1.1587699E-004, 0.0000000E+000
 1.0002882E+001, 5.0822687E+000, 0.0000000E+000,-2.0521017E+000,-7.0806379E-001,-2.3451635E+000,-2.8538719E-004, 0.0000000E+000, 0.0000000E+000,-9.3119397E-003,-2.3345692E-002, 0.0000000E+000, 1.2950626E-004, 0.0000000E+000
