s,C,C,C,C,C,C,C,C,C,C,m/s,m/s,m/s,m/s,m/s,m/s,kW/m2,C,kW/m2,C,kW/m2,C,kW/m2,C,kW/m2,C,kW/m2,C,kW/m2,kW/m2,kW/m2,kg/s,kg/s,kW
Time,"TC_Z020","TC_Z040","TC_Z060","TC_Z080","TC_Z100","TC_Z115","TC_Z135","TC_Z150","TC_Z165","TC_Z175","W_Z040","W_Z080","W_Z115","W_Z135","W_Z150","W_Z170","HFLUX_OUT_Z040","TWALL_OUT_Z040","HFLUX_OUT_Z080","TWALL_OUT_Z080","HFLUX_OUT_Z100","TWALL_OUT_Z100","HFLUX_OUT_Z135","TWALL_OUT_Z135","HFLUX_OUT_Z150","TWALL_OUT_Z150","HFLUX_OUT_Z170","TWALL_OUT_Z170","HFLUX_IN_Z135","HFLUX_IN_Z150","HFLUX_IN_Z170","MFLOW_UP_Z080","MFLOW_UP_Z150","HRR_TOTAL"
 0.0000000E+000, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 1.0336328E-002, 1.0472987E-002,-3.3794729E-003,-2.0503595E-003, 2.7170905E-003,-4.6619058E-003,-1.5804518E-004, 2.0000000E+001,-1.4898703E-004, 2.0000000E+001,-1.1863857E-004, 2.0000000E+001,-2.8292860E-004, 2.0000000E+001,-1.1961390E-004, 2.0000000E+001,-1.6137564E-004, 2.0000000E+001,-2.9976884E-004,-1.2343439E-004,-1.6539774E-004, 5.4824616E-005, 5.5086597E-005, 0.0000000E+000
 5.0501017E-001, 2.0000668E+001, 2.0000013E+001, 1.9999995E+001, 1.9999996E+001, 1.9999999E+001, 2.0000001E+001, 1.9999995E+001, 1.9999996E+001, 1.9999999E+001, 1.9999999E+001, 5.7350436E-003, 5.1999759E-003,-1.6633723E-003, 1.3535926E-003, 3.2008672E-003, 4.0362336E-004, 2.2451711E-003, 2.0000035E+001,-5.3154797E-007, 2.0000000E+001,-1.0883045E-006, 2.0000000E+001,-3.1298424E-006, 2.0000000E+001,-1.1218777E-006, 2.0000000E+001,-2.4475331E-006, 2.0000000E+001,-3.1941927E-006,-1.0492047E-006,-2.4628301E-006, 4.5485717E-005, 5.2728777E-005, 1.4806489E-001
 1.0032183E+000, 2.0147544E+001, 2.0000482E+001, 1.9999983E+001, 1.9999973E+001, 1.9999973E+001, 1.9999974E+001, 1.9999969E+001, 1.9999969E+001, 1.9999971E+001, 1.9999971E+001, 1.4764363E-002, 1.2041915E-002, 1.0541237E-002, 1.2183502E-002, 1.2224487E-002, 1.1823509E-002, 1.4265517E-002, 2.0000639E+001, 1.1542049E-005, 2.0000000E+001, 2.3285824E-007, 2.0000000E+001,-1.9590385E-007, 2.0000000E+001,-2.0074412E-007, 2.0000000E+001,-1.9466208E-007, 2.0000000E+001,-1.6994091E-007,-1.8595527E-007,-1.6938111E-007, 2.7096171E-004, 2.6059510E-004, 4.6301367E-001
 1.5010261E+000, 1.1493861E+002, 2.2036237E+001, 1.9999916E+001, 1.9999851E+001, 1.9999851E+001, 1.9999845E+001, 1.9999847E+001, 1.9999847E+001, 1.9999849E+001, 1.9999845E+001, 5.1443693E-002, 4.4138796E-002, 4.4666837E-002, 4.4410637E-002, 4.4375262E-002, 4.4135722E-002, 7.9902117E-002, 2.0002779E+001, 2.2437581E-005, 2.0000002E+001, 3.1149470E-007, 2.0000000E+001,-9.0299811E-007, 2.0000000E+001,-8.9896951E-007, 2.0000000E+001,-8.9526727E-007, 2.0000000E+001,-8.5220500E-007,-8.7042847E-007,-8.6333221E-007, 9.8142353E-004, 9.8025836E-004, 6.3453942E-001
 2.0003190E+000, 1.1927891E+002, 7.8389198E+001, 2.2037273E+001, 1.9999489E+001, 1.9999482E+001, 1.9999480E+001, 1.9999483E+001, 1.9999480E+001, 1.9999482E+001, 1.9999476E+001, 5.5407364E-001, 1.1705434E-001, 1.1653602E-001, 1.1622262E-001, 1.1644531E-001, 1.1629081E-001, 4.8936724E-001, 2.0024343E+001, 6.1852840E-005, 2.0000004E+001, 4.1756932E-007, 2.0000000E+001,-2.7634583E-006, 2.0000000E+001,-2.7755895E-006, 2.0000000E+001,-2.7694322E-006, 2.0000000E+001,-2.6917144E-006,-2.7165713E-006,-2.7055404E-006, 2.5372483E-003, 2.5361594E-003, 8.7324698E-001
 2.5009666E+000, 1.7312534E+002, 6.4494923E+001, 6.3651741E+001, 2.4500396E+001, 1.9998636E+001, 1.9998638E+001, 1.9998639E+001, 1.9998638E+001, 1.9998639E+001, 1.9998634E+001, 7.9058368E-001, 3.1818184E-001, 2.4493751E-001, 2.4479867E-001, 2.4485699E-001, 2.4483073E-001, 5.4713367E-001, 2.0069941E+001, 1.2063573E-002, 2.0000145E+001, 5.5048452E-005, 2.0000001E+001,-6.4818682E-006, 1.9999999E+001,-6.7477866E-006, 1.9999999E+001,-6.7567568E-006, 1.9999999E+001,-6.3611990E-006,-6.6037512E-006,-6.6034240E-006, 5.1245047E-003, 5.2464932E-003, 1.0770003E+000
 3.0001271E+000, 1.6574490E+002, 1.1253105E+002, 4.6465685E+001, 7.0020924E+001, 4.5863139E+001, 2.4724247E+001, 1.9997046E+001, 1.9997051E+001, 1.9997050E+001, 1.9997045E+001, 8.6753857E-001, 7.8615462E-001, 4.7300290E-001, 4.3359730E-001, 4.3259114E-001, 4.3264456E-001, 8.0309260E-001, 2.0098304E+001, 4.7544126E-001, 2.0020092E+001, 1.7945549E-001, 2.0003255E+001, 1.3169301E-005, 1.9999999E+001,-1.1426886E-005, 1.9999999E+001,-1.3718364E-005, 1.9999999E+001, 8.1605393E-006,-1.1764540E-005,-1.3404802E-005, 8.7944393E-003, 9.0958585E-003, 1.5049589E+000
 3.5009204E+000, 4.1194121E+002, 4.8942893E+001, 7.8351117E+001, 7.8880743E+001, 6.9852560E+001, 6.7179279E+001, 4.1262767E+001, 2.6145655E+001, 1.9994487E+001, 1.9994479E+001, 5.6012091E-001, 1.3505834E+000, 1.1657917E+000, 8.2390599E-001, 7.2997728E-001, 6.5897438E-001, 4.5613629E-001, 2.0153609E+001, 5.2653289E-001, 2.0053369E+001, 4.1760249E-001, 2.0028056E+001, 1.1623984E-001, 2.0002099E+001, 7.4249016E-003, 2.0000082E+001,-1.8687727E-006, 1.9999998E+001, 6.4995689E-002, 2.9377776E-003,-5.0159709E-006, 1.3730034E-002, 1.3375104E-002, 1.5551492E+000
 4.0002126E+000, 5.2470403E+002, 1.1811054E+002, 8.2521628E+001, 5.5189145E+001, 4.4589838E+001, 6.1874191E+001, 6.3690231E+001, 6.2875848E+001, 5.1556210E+001, 4.2106701E+001, 1.3015097E+000, 9.2961924E-001, 1.4021843E+000, 1.3320098E+000, 1.2639691E+000, 1.0652158E+000, 1.5608905E+000, 2.0224401E+001, 3.6709115E-001, 2.0081787E+001, 2.4618383E-001, 2.0051906E+001, 3.9082773E-001, 2.0024924E+001, 3.4184139E-001, 2.0012890E+001, 1.2940198E-001, 2.0002694E+001, 3.6444323E-001, 2.9112862E-001, 1.1804285E-001, 1.6532620E-002, 1.5999531E-002, 1.7192494E+000
