s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_PROPANE,MLR_PRODUCTS
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.2259968E-006,-4.2178828E-012, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.2260010E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.0032183E+000, 3.0447156E-001, 0.0000000E+000,-9.9785129E-002, 2.3117216E-003,-6.0994318E-002,-2.0955921E-005, 0.0000000E+000, 0.0000000E+000, 1.4470756E-001, 1.4598288E-001, 0.0000000E+000, 6.8688447E-006, 0.0000000E+000
 2.0003190E+000, 7.5407097E-001, 0.0000000E+000,-2.2652038E-001, 4.1384913E-003,-2.7347736E-001,-5.5341340E-005, 0.0000000E+000, 0.0000000E+000, 2.5820554E-001, 2.5815638E-001, 0.0000000E+000, 2.0482988E-005, 0.0000000E+000
 3.0001271E+000, 1.2906613E+000, 0.0000000E+000,-3.8614553E-001, 8.3311959E-003,-3.9769667E-001,-8.0946244E-005, 0.0000000E+000, 0.0000000E+000, 5.1600611E-001, 5.1506937E-001, 0.0000000E+000, 3.4080094E-005, 0.0000000E+000
 4.0002127E+000, 1.6370762E+000, 0.0000000E+000,-4.9875083E-001, 7.0120562E-003,-6.2270703E-001,-9.8616426E-005, 0.0000000E+000, 0.0000000E+000, 5.2450517E-001, 5.2253177E-001, 0.0000000E+000, 4.7705253E-005, 0.0000000E+000
 5.0009193E+000, 2.4790983E+000, 0.0000000E+000,-7.6160838E-001,-5.8397558E-001,-8.5912827E-001,-1.1892067E-004, 0.0000000E+000, 0.0000000E+000, 2.8864492E-001, 2.7426717E-001, 0.0000000E+000, 6.1337093E-005, 0.0000000E+000
 6.0000701E+000, 2.3093670E+000, 0.0000000E+000,-7.3088642E-001,-7.4033375E-001,-8.6632337E-001,-1.1016319E-004, 0.0000000E+000, 0.0000000E+000,-4.0182803E-003,-2.8286734E-002, 0.0000000E+000, 7.4963572E-005, 0.0000000E+000
 7.0008779E+000, 2.4889031E+000, 0.0000000E+000,-8.1478106E-001,-7.0726417E-001,-9.3746846E-001,-8.9802721E-005, 0.0000000E+000, 0.0000000E+000, 4.8958172E-002, 2.9299616E-002, 0.0000000E+000, 8.8591261E-005, 0.0000000E+000
 8.0002947E+000, 2.5618459E+000, 0.0000000E+000,-8.4548555E-001,-8.2011866E-001,-9.4993113E-001,-6.9781203E-005, 0.0000000E+000, 0.0000000E+000,-3.5119133E-002,-5.3759253E-002, 0.0000000E+000, 1.0221797E-004, 0.0000000E+000
