s,C,C,C,C,C,C,C,C,C,C,m/s,m/s,m/s,m/s,m/s,m/s,kW/m2,C,kW/m2,C,kW/m2,C,kW/m2,C,kW/m2,C,kW/m2,C,kW/m2,kW/m2,kW/m2,kg/s,kg/s,kW
Time,"TC_Z020","TC_Z040","TC_Z060","TC_Z080","TC_Z100","TC_Z115","TC_Z135","TC_Z150","TC_Z165","TC_Z175","W_Z040","W_Z080","W_Z115","W_Z135","W_Z150","W_Z170","HFLUX_OUT_Z040","TWALL_OUT_Z040","HFLUX_OUT_Z080","TWALL_OUT_Z080","HFLUX_OUT_Z100","TWALL_OUT_Z100","HFLUX_OUT_Z135","TWALL_OUT_Z135","HFLUX_OUT_Z150","TWALL_OUT_Z150","HFLUX_OUT_Z170","TWALL_OUT_Z170","HFLUX_IN_Z135","HFLUX_IN_Z150","HFLUX_IN_Z170","MFLOW_UP_Z080","MFLOW_UP_Z150","HRR_TOTAL"
 0.0000000E+000, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001,-1.8690437E-003, 4.8654144E-003, 7.2162926E-004, 7.2509211E-003, 0.0000000E+000,-5.3181273E-003,-1.1051312E-004, 2.0000000E+001,-1.3169957E-004, 2.0000000E+001,-1.2588929E-004, 2.0000000E+001,-8.6335444E-005, 2.0000000E+001,-4.6105359E-004, 2.0000000E+001,-4.5955218E-005, 2.0000000E+001,-8.9285574E-005,-4.7235037E-004,-5.0708690E-005, 5.1311565E-005, 0.0000000E+000, 0.0000000E+000
 5.0501017E-001, 2.0000800E+001, 2.0000011E+001, 1.9999997E+001, 1.9999994E+001, 2.0000003E+001, 1.9999999E+001, 1.9999994E+001, 1.9999997E+001, 2.0000003E+001, 1.9999992E+001,-7.0736563E-004, 4.4393137E-003, 2.0141850E-004, 6.6752831E-003, 5.3448976E-004,-3.9067414E-003, 3.6706909E-004, 2.0000005E+001, 2.1395071E-006, 2.0000000E+001,-2.1566805E-006, 2.0000000E+001,-1.1528601E-006, 2.0000000E+001,-1.3119323E-005, 1.9999999E+001,-5.2555830E-007, 2.0000000E+001,-1.1814070E-006,-1.2620939E-005,-6.1147279E-007, 5.8921932E-005, 1.3434393E-005, 1.3994821E-001
 1.0029023E+000, 3.8343161E+001, 2.0000936E+001, 2.0000044E+001, 1.9999966E+001, 1.9999983E+001, 1.9999974E+001, 1.9999962E+001, 1.9999972E+001, 1.9999990E+001, 1.9999969E+001, 1.4765420E-002, 1.5094527E-002, 1.2212058E-002, 1.6988476E-002, 1.2449287E-002, 8.6387443E-003, 1.5248678E-002, 2.0000488E+001, 1.1940983E-004, 2.0000004E+001, 4.0987628E-006, 2.0000000E+001,-3.7307812E-008, 2.0000000E+001,-1.0654081E-007, 1.9999999E+001,-6.9277039E-008, 2.0000000E+001,-5.6999352E-008,-5.1149516E-008,-1.2633349E-007, 3.1431290E-004, 2.9066603E-004, 4.6420205E-001
 1.5025738E+000, 1.4730508E+002, 5.2722445E+001, 2.0000221E+001, 1.9999827E+001, 1.9999824E+001, 1.9999814E+001, 1.9999809E+001, 1.9999806E+001, 1.9999827E+001, 1.9999825E+001, 4.1548279E-001, 6.2875333E-002, 6.3117807E-002, 6.2243409E-002, 6.1727062E-002, 6.1064422E-002, 9.6811427E-002, 2.0003550E+001, 1.4499886E-004, 2.0000014E+001, 1.0355249E-005, 2.0000000E+001,-5.5574213E-007, 2.0000000E+001,-7.7016012E-007, 1.9999999E+001,-7.9456179E-007, 2.0000000E+001,-5.8136225E-007,-7.6317179E-007,-7.6272219E-007, 1.4169463E-003, 1.4147779E-003, 7.4262063E-001
 2.0020480E+000, 1.2375028E+002, 1.1901361E+002, 8.0676600E+001, 2.2302862E+001, 1.9999254E+001, 1.9999263E+001, 1.9999260E+001, 1.9999258E+001, 1.9999274E+001, 1.9999281E+001, 1.2137441E+000, 2.2445906E-001, 1.8002733E-001, 1.7985440E-001, 1.8041632E-001, 1.7958730E-001, 6.7584155E-001, 2.0034795E+001, 1.0583350E-003, 2.0000041E+001, 6.0979700E-005, 2.0000002E+001,-2.1629650E-006, 2.0000000E+001,-2.9590132E-006, 1.9999999E+001,-3.0917849E-006, 2.0000000E+001,-2.2394355E-006,-2.9120367E-006,-3.0381872E-006, 4.0523213E-003, 4.0857229E-003, 1.0269662E+000
 2.5018855E+000, 2.5908863E+002, 1.3458244E+002, 8.0539747E+001, 8.8465640E+001, 4.4807997E+001, 2.5939855E+001, 1.9997975E+001, 1.9997966E+001, 1.9997972E+001, 1.9997980E+001, 1.6425341E+000, 1.4239171E+000, 4.8054243E-001, 3.6881237E-001, 3.6736580E-001, 3.6715527E-001, 4.9319169E-001, 2.0068629E+001, 3.9510513E-001, 2.0015086E+001, 6.8467970E-002, 2.0001061E+001, 2.4920995E-005, 2.0000000E+001,-9.5094685E-007, 1.9999999E+001,-7.6782286E-006, 1.9999999E+001, 2.3253258E-005,-1.4557164E-006,-7.6028758E-006, 8.4016735E-003, 8.1906369E-003, 1.2600291E+000
 3.0009198E+000, 1.6449748E+002, 4.3192262E+001, 6.7419318E+001, 7.5019680E+001, 7.5717210E+001, 6.8950139E+001, 4.6229410E+001, 2.8126748E+001, 1.9995798E+001, 1.9995684E+001, 8.2359565E-001, 1.6992789E+000, 1.3722850E+000, 9.7241303E-001, 7.3326307E-001, 6.0862122E-001, 3.2538765E-001, 2.0102510E+001, 4.0080334E-001, 2.0040834E+001, 3.1360295E-001, 2.0018296E+001, 4.9999410E-002, 2.0000924E+001, 5.3566473E-003, 2.0000066E+001, 1.0290171E-005, 1.9999999E+001, 8.4796719E-002, 1.2104421E-002, 6.4103221E-006, 1.3815188E-002, 1.3078392E-002, 1.3778690E+000
 3.5007167E+000, 9.5122501E+002, 3.0481334E+002, 1.0634067E+002, 6.2713229E+001, 7.1160861E+001, 6.6383974E+001, 6.4382512E+001, 6.5507193E+001, 5.5749574E+001, 4.4379963E+001, 1.8150544E+000, 1.5555038E+000, 1.5315458E+000, 1.6735287E+000, 1.3654787E+000, 1.1524324E+000, 1.3563090E+000, 2.0140940E+001, 2.8376402E-001, 2.0065323E+001, 2.7905183E-001, 2.0037555E+001, 2.3865461E-001, 2.0012903E+001, 2.0854041E-001, 2.0008155E+001, 9.8606485E-002, 2.0002499E+001, 2.4260932E-001, 2.0929469E-001, 9.9202306E-002, 1.7709157E-002, 1.6658749E-002, 2.0049870E+000
 4.0004189E+000, 8.0548251E+002, 1.9824338E+002, 1.2014833E+002, 6.4245180E+001, 6.0131650E+001, 7.7276642E+001, 7.7120875E+001, 6.7083054E+001, 5.7333612E+001, 5.7466994E+001, 1.2828484E+000, 1.5408832E+000, 1.8027106E+000, 1.6013668E+000, 1.6877514E+000, 1.5360268E+000, 8.3807825E-001, 2.0231397E+001, 3.2072202E-001, 2.0091062E+001, 2.6453012E-001, 2.0057926E+001, 3.0777104E-001, 2.0030346E+001, 2.6391936E-001, 2.0024518E+001, 2.2442243E-001, 2.0015796E+001, 2.6128103E-001, 2.1472654E-001, 2.0864342E-001, 2.0239905E-002, 1.9563689E-002, 1.8634846E+000
