s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_PROPANE,MLR_PRODUCTS
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.2887660E-006, 1.1008290E-011, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.2887550E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.0029023E+000, 3.0092444E-001, 0.0000000E+000,-1.0567983E-001, 2.6195399E-003,-2.5309139E-002,-2.1074648E-005, 0.0000000E+000, 0.0000000E+000, 1.6924419E-001, 1.7253394E-001, 0.0000000E+000, 6.8917303E-006, 0.0000000E+000
 2.0020480E+000, 8.8476532E-001, 0.0000000E+000,-2.7903272E-001, 7.0780145E-003,-1.7785510E-001,-5.8958368E-005, 0.0000000E+000, 0.0000000E+000, 4.3401370E-001, 4.3489656E-001, 0.0000000E+000, 2.0498785E-005, 0.0000000E+000
 3.0009198E+000, 1.3189017E+000, 0.0000000E+000,-3.9788949E-001, 9.4538964E-003,-3.4822968E-001,-9.1325156E-005, 0.0000000E+000, 0.0000000E+000, 5.8195036E-001, 5.8214509E-001, 0.0000000E+000, 3.4106483E-005, 0.0000000E+000
 4.0004187E+000, 1.9342425E+000, 0.0000000E+000,-5.8115309E-001,-3.1218665E-001,-5.7753950E-001,-1.2094820E-004, 0.0000000E+000, 0.0000000E+000, 4.7493262E-001, 4.6324232E-001, 0.0000000E+000, 4.7718366E-005, 0.0000000E+000
 5.0002832E+000, 2.6974539E+000, 0.0000000E+000,-8.0607028E-001,-7.5123310E-001,-7.7430117E-001,-1.5342181E-004, 0.0000000E+000, 0.0000000E+000, 3.9309898E-001, 3.6569589E-001, 0.0000000E+000, 6.1339337E-005, 0.0000000E+000
 6.0002861E+000, 2.2095331E+000, 0.0000000E+000,-6.7393866E-001,-1.0766043E+000,-7.5380203E-001,-1.5055155E-004, 0.0000000E+000, 0.0000000E+000,-2.5946722E-001,-2.9496250E-001, 0.0000000E+000, 7.4968611E-005, 0.0000000E+000
 7.0007725E+000, 3.1168836E+000, 0.0000000E+000,-9.4037643E-001,-8.3380883E-001,-8.4437221E-001,-1.4651734E-004, 0.0000000E+000, 0.0000000E+000, 5.2159102E-001, 4.9817961E-001, 0.0000000E+000, 8.8599294E-005, 0.0000000E+000
 8.0005684E+000, 2.8160174E+000, 0.0000000E+000,-8.5775136E-001,-1.3763991E+000,-8.6064013E-001,-1.1263467E-004, 0.0000000E+000, 0.0000000E+000,-2.3283006E-001,-2.7888585E-001, 0.0000000E+000, 1.0222643E-004, 0.0000000E+000
 9.0002670E+000, 3.1797986E+000, 0.0000000E+000,-9.8077936E-001,-1.1115845E+000,-8.5941840E-001,-8.9582838E-005, 0.0000000E+000, 0.0000000E+000, 2.5935030E-001, 2.2792678E-001, 0.0000000E+000, 1.1585089E-004, 0.0000000E+000
 1.0000153E+001, 4.0007729E+000, 0.0000000E+000,-1.2275299E+000,-1.6147371E+000,-9.8899716E-001,-7.1943139E-005, 0.0000000E+000, 0.0000000E+000, 2.1272218E-001, 1.6943677E-001, 0.0000000E+000, 1.2947014E-004, 0.0000000E+000
