s,C,C,C,C,C,C,C,C,C,C,m/s,m/s,m/s,m/s,m/s,m/s,kW/m2,C,kW/m2,C,kW/m2,C,kW/m2,C,kW/m2,C,kW/m2,C,kW/m2,kW/m2,kW/m2,kg/s,kg/s,kW
Time,"TC_Z020","TC_Z040","TC_Z060","TC_Z080","TC_Z100","TC_Z115","TC_Z135","TC_Z150","TC_Z165","TC_Z175","W_Z040","W_Z080","W_Z115","W_Z135","W_Z150","W_Z170","HFLUX_OUT_Z040","TWALL_OUT_Z040","HFLUX_OUT_Z080","TWALL_OUT_Z080","HFLUX_OUT_Z100","TWALL_OUT_Z100","HFLUX_OUT_Z135","TWALL_OUT_Z135","HFLUX_OUT_Z150","TWALL_OUT_Z150","HFLUX_OUT_Z170","TWALL_OUT_Z170","HFLUX_IN_Z135","HFLUX_IN_Z150","HFLUX_IN_Z170","MFLOW_UP_Z080","MFLOW_UP_Z150","HRR_TOTAL"
 0.0000000E+000, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001,-7.1921363E-004, 5.4871951E-003, 3.2587825E-003, 5.5253300E-003, 1.4720082E-002, 5.7644710E-003,-1.0837350E-004, 2.0000000E+001,-2.9312190E-005, 2.0000000E+001,-6.1041031E-005, 2.0000000E+001,-6.6435483E-005, 2.0000000E+001,-3.1510051E-005, 2.0000000E+001,-1.8872685E-005, 2.0000000E+001,-7.0989289E-005,-3.6094327E-005,-2.1799625E-005, 5.1079031E-005, 5.6462497E-005, 0.0000000E+000
 5.0098826E-001, 2.0000891E+001, 2.0000018E+001, 1.9999997E+001, 1.9999989E+001, 1.9999997E+001, 1.9999993E+001, 1.9999998E+001, 1.9999992E+001, 1.9999992E+001, 1.9999998E+001, 4.0720071E-004, 5.6326134E-003, 4.5850712E-003, 4.5902672E-003, 9.9723753E-003, 4.0467319E-003, 5.6507819E-004, 2.0000006E+001, 5.1186219E-006, 2.0000000E+001,-3.4103851E-007, 2.0000000E+001,-7.9944854E-007, 2.0000000E+001,-1.8810579E-007, 2.0000000E+001,-1.0104712E-007, 2.0000000E+001,-7.6944840E-007,-1.9572082E-007,-6.3038047E-008, 6.0732649E-005, 4.3117184E-005, 1.3765657E-001
 1.0019397E+000, 2.1404267E+001, 2.0001128E+001, 2.0000044E+001, 1.9999957E+001, 1.9999969E+001, 1.9999961E+001, 1.9999977E+001, 1.9999974E+001, 1.9999976E+001, 1.9999983E+001, 1.5861461E-002, 1.6007126E-002, 1.6155684E-002, 1.3646478E-002, 1.4355637E-002, 1.0931752E-002, 1.7627733E-002, 2.0000581E+001, 1.0393489E-004, 2.0000004E+001, 5.7009688E-006, 2.0000000E+001,-1.0481268E-007, 2.0000000E+001,-2.2306897E-008, 2.0000000E+001,-1.1589023E-007, 2.0000000E+001,-5.5614191E-008, 1.0135272E-009,-1.8908066E-008, 3.1832402E-004, 2.3291562E-004, 4.6092550E-001
 1.5021547E+000, 1.4808607E+002, 3.0121119E+001, 2.0000203E+001, 1.9999818E+001, 1.9999804E+001, 1.9999805E+001, 1.9999816E+001, 1.9999826E+001, 1.9999837E+001, 1.9999837E+001, 1.0024414E-001, 6.2104344E-002, 6.3121936E-002, 6.3708460E-002, 6.3024981E-002, 6.3637729E-002, 3.5771737E-002, 2.0002439E+001, 1.3544897E-004, 2.0000013E+001, 1.1000327E-005, 2.0000001E+001,-5.7739899E-007, 2.0000000E+001,-7.0917548E-007, 2.0000000E+001,-7.5044321E-007, 2.0000000E+001,-5.2755943E-007,-6.7460093E-007,-6.7096271E-007, 1.4360993E-003, 1.4287960E-003, 7.2510929E-001
 2.0002962E+000, 2.0650538E+002, 5.0937622E+001, 6.5889961E+001, 2.5448598E+001, 1.9999263E+001, 1.9999257E+001, 1.9999266E+001, 1.9999286E+001, 1.9999283E+001, 1.9999287E+001, 1.8729379E-001, 2.9623359E-001, 1.7847853E-001, 1.7815462E-001, 1.7693302E-001, 1.7805376E-001, 2.0671307E-001, 2.0013302E+001, 1.4249340E-003, 2.0000040E+001, 6.5137217E-005, 2.0000003E+001,-2.0966296E-006, 2.0000000E+001,-2.8896605E-006, 2.0000000E+001,-3.0037420E-006, 2.0000000E+001,-2.1798464E-006,-2.8781641E-006,-2.9734571E-006, 3.9882600E-003, 4.0368341E-003, 1.0063952E+000
 2.5022593E+000, 8.9114195E+001, 4.4731722E+001, 6.4200159E+001, 8.4623092E+001, 4.0554603E+001, 2.3691622E+001, 1.9997951E+001, 1.9997959E+001, 1.9997976E+001, 1.9997980E+001, 1.6378961E-001, 1.1948469E+000, 4.5182296E-001, 3.7832040E-001, 3.7800472E-001, 3.7786007E-001, 3.6648044E-001, 2.0033911E+001, 2.8424610E-001, 2.0008781E+001, 2.9433172E-002, 2.0000488E+001, 8.8294485E-006, 2.0000000E+001,-5.0475609E-006, 2.0000000E+001,-7.8593905E-006, 1.9999999E+001, 8.1091678E-006,-5.2775454E-006,-7.7639247E-006, 7.5389822E-003, 8.4338776E-003, 1.3845959E+000
 3.0011982E+000, 2.7065397E+002, 5.1281783E+001, 7.8620876E+001, 7.5886100E+001, 6.3338123E+001, 6.4000234E+001, 3.5950026E+001, 2.3859523E+001, 1.9995598E+001, 1.9995617E+001, 4.5598079E-001, 1.3517296E+000, 8.4649315E-001, 7.2837722E-001, 6.6835503E-001, 6.1587464E-001, 1.7392909E-001, 2.0049269E+001, 3.2348894E-001, 2.0035393E+001, 2.4070128E-001, 2.0012734E+001, 2.7510590E-002, 2.0000468E+001, 1.8058451E-003, 2.0000019E+001, 4.0404622E-006, 1.9999999E+001, 2.7907403E-002, 1.6415484E-003, 1.6369556E-006, 1.2396210E-002, 1.3331649E-002, 1.3227594E+000
 3.5003806E+000, 3.4993939E+002, 1.9579628E+002, 1.0129196E+002, 9.6208044E+001, 6.5915469E+001, 5.8108858E+001, 6.6151396E+001, 5.2293958E+001, 4.3351735E+001, 3.3548770E+001, 1.3496536E+000, 1.4453498E+000, 1.1638057E+000, 1.0700554E+000, 8.5315463E-001, 8.8916486E-001, 1.3451449E+000, 2.0096445E+001, 3.8137516E-001, 2.0055844E+001, 2.6344850E-001, 2.0025974E+001, 2.2200552E-001, 2.0011980E+001, 1.3095527E-001, 2.0004239E+001, 6.1185880E-002, 2.0001087E+001, 2.2380276E-001, 1.7944832E-001, 7.8528956E-002, 1.6279468E-002, 1.7079612E-002, 1.8723824E+000
 4.0004610E+000, 5.7485204E+002, 1.7760872E+002, 1.3918696E+002, 7.6618318E+001, 7.9297492E+001, 8.2322522E+001, 8.4197774E+001, 6.7827740E+001, 6.0937995E+001, 5.6395832E+001, 1.1715699E+000, 1.7160968E+000, 1.7499224E+000, 1.7972813E+000, 1.5786029E+000, 1.3381179E+000, 8.7898613E-001, 2.0183245E+001, 2.8806171E-001, 2.0081398E+001, 2.9279874E-001, 2.0049670E+001, 2.9987796E-001, 2.0029279E+001, 2.2318071E-001, 2.0017920E+001, 1.7282466E-001, 2.0010827E+001, 2.7418312E-001, 2.2946033E-001, 1.8026195E-001, 2.1066981E-002, 2.0531059E-002, 2.3170495E+000
