s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_PROPANE,MLR_PRODUCTS
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.6585951E-006,-2.9875565E-012, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.6585981E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.0019398E+000, 2.9928510E-001, 0.0000000E+000,-1.0334634E-001, 2.7042179E-003,-2.6767192E-002,-2.1033780E-005, 0.0000000E+000, 0.0000000E+000, 1.6883914E-001, 1.7185475E-001, 0.0000000E+000, 6.8823902E-006, 0.0000000E+000
 2.0002961E+000, 8.6546015E-001, 0.0000000E+000,-2.7018668E-001, 6.8920612E-003,-1.7546543E-001,-5.8635768E-005, 0.0000000E+000, 0.0000000E+000, 4.2563176E-001, 4.2664147E-001, 0.0000000E+000, 2.0478757E-005, 0.0000000E+000
 3.0011983E+000, 1.3537711E+000, 0.0000000E+000,-4.0596909E-001, 9.9343143E-003,-3.4976155E-001,-9.1282323E-005, 0.0000000E+000, 0.0000000E+000, 6.0732161E-001, 6.0788348E-001, 0.0000000E+000, 3.4097214E-005, 0.0000000E+000
 4.0004611E+000, 2.0949158E+000, 0.0000000E+000,-6.3279568E-001,-1.5736357E-001,-6.0622206E-001,-1.2256730E-004, 0.0000000E+000, 0.0000000E+000, 7.1454858E-001, 6.9841187E-001, 0.0000000E+000, 4.7724290E-005, 0.0000000E+000
 5.0010080E+000, 2.3398536E+000, 0.0000000E+000,-7.0210190E-001,-8.0723706E-001,-7.4316664E-001,-1.4422584E-004, 0.0000000E+000, 0.0000000E+000, 1.3112264E-001, 8.7203755E-002, 0.0000000E+000, 6.1348181E-005, 0.0000000E+000
 6.0004191E+000, 2.6529975E+000, 0.0000000E+000,-8.0551934E-001,-1.0279824E+000,-8.6744366E-001,-1.5983983E-004, 0.0000000E+000, 0.0000000E+000, 7.3729019E-003,-4.8107713E-002, 0.0000000E+000, 7.4974909E-005, 0.0000000E+000
 7.0011854E+000, 2.3585370E+000, 0.0000000E+000,-7.1692649E-001,-1.0149231E+000,-7.0293422E-001,-1.3294581E-004, 0.0000000E+000, 0.0000000E+000,-3.8816713E-002,-7.6379809E-002, 0.0000000E+000, 8.8603891E-005, 0.0000000E+000
 8.0013227E+000, 2.9338751E+000, 0.0000000E+000,-8.9100327E-001,-1.0517063E+000,-8.2889064E-001,-1.0533656E-004, 0.0000000E+000, 0.0000000E+000, 2.0202155E-001, 1.6216951E-001, 0.0000000E+000, 1.0223401E-004, 0.0000000E+000
 9.0003500E+000, 3.7903474E+000, 0.0000000E+000,-1.1451939E+000,-1.2237618E+000,-1.0082915E+000,-8.2405076E-005, 0.0000000E+000, 0.0000000E+000, 4.6743957E-001, 4.1301779E-001, 0.0000000E+000, 1.1585387E-004, 0.0000000E+000
 1.0000463E+001, 3.7599044E+000, 0.0000000E+000,-1.1760472E+000,-1.5849225E+000,-1.0431045E+000,-6.8739462E-005, 0.0000000E+000, 0.0000000E+000, 1.9565870E-002,-4.4238609E-002, 0.0000000E+000, 1.2947255E-004, 0.0000000E+000
 1.1000947E+001, 4.5594974E+000, 0.0000000E+000,-1.4069114E+000,-1.7564589E+000,-1.1767012E+000,-5.8127367E-005, 0.0000000E+000, 0.0000000E+000, 2.9429563E-001, 2.1936768E-001, 0.0000000E+000, 1.3627035E-004, 0.0000000E+000
