s,C,C,C,C,C,C,C,C,C,C,m/s,m/s,m/s,m/s,m/s,m/s,kW/m2,C,kW/m2,C,kW/m2,C,kW/m2,C,kW/m2,C,kW/m2,C,kW/m2,kW/m2,kW/m2,kg/s,kg/s,kW
Time,"TC_Z020","TC_Z040","TC_Z060","TC_Z080","TC_Z100","TC_Z115","TC_Z135","TC_Z150","TC_Z165","TC_Z175","W_Z040","W_Z080","W_Z115","W_Z135","W_Z150","W_Z170","HFLUX_OUT_Z040","TWALL_OUT_Z040","HFLUX_OUT_Z080","TWALL_OUT_Z080","HFLUX_OUT_Z100","TWALL_OUT_Z100","HFLUX_OUT_Z135","TWALL_OUT_Z135","HFLUX_OUT_Z150","TWALL_OUT_Z150","HFLUX_OUT_Z170","TWALL_OUT_Z170","HFLUX_IN_Z135","HFLUX_IN_Z150","HFLUX_IN_Z170","MFLOW_UP_Z080","MFLOW_UP_Z150","HRR_TOTAL"
 0.0000000E+000, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 1.0336328E-002, 1.0472987E-002,-2.0390341E-003, 5.8285194E-003,-2.5701213E-003, 0.0000000E+000,-1.5803834E-004, 2.0000000E+001,-1.4867513E-004, 2.0000000E+001,-1.2686450E-004, 2.0000000E+001,-2.5274030E-004, 2.0000000E+001,-8.3379913E-005, 2.0000000E+001,-4.1259078E-004, 2.0000000E+001,-2.5081561E-004,-7.2307792E-005,-4.1771256E-004, 5.4824616E-005, 5.5122191E-005, 0.0000000E+000
 5.0000000E-001, 2.0001814E+001, 2.0000056E+001, 1.9999997E+001, 1.9999996E+001, 1.9999997E+001, 1.9999998E+001, 1.9999994E+001, 1.9999998E+001, 2.0000002E+001, 1.9999995E+001, 5.7989597E-003, 5.6195084E-003, 3.1683779E-004, 4.3874220E-003, 1.9480122E-004, 1.8463911E-003, 3.6521262E-003, 2.0000086E+001, 3.7315818E-006, 2.0000000E+001, 4.1373653E-008, 2.0000000E+001,-2.9256039E-007, 2.0000000E+001,-7.2699096E-008, 2.0000000E+001,-6.1180080E-007, 2.0000000E+001,-2.8341229E-007,-4.3301660E-008,-5.8371094E-007, 5.2079740E-005, 5.2054426E-005, 1.4548416E-001
 1.0004000E+000, 2.0092551E+001, 2.0000607E+001, 1.9999993E+001, 1.9999973E+001, 1.9999972E+001, 1.9999971E+001, 1.9999968E+001, 1.9999971E+001, 1.9999976E+001, 1.9999971E+001, 1.4412226E-002, 1.1830898E-002, 1.1437029E-002, 1.2543796E-002, 1.1407311E-002, 1.1761094E-002, 1.4355924E-002, 2.0000740E+001, 1.2521537E-005, 2.0000001E+001, 4.5852998E-007, 2.0000000E+001,-1.7288975E-007, 2.0000000E+001,-1.6690737E-007, 2.0000000E+001,-1.9891193E-007, 2.0000000E+001,-1.8368704E-007,-1.8435618E-007,-1.8380658E-007, 2.6521042E-004, 2.6503668E-004, 4.5678895E-001
 1.5004000E+000, 1.2920491E+002, 2.0007221E+001, 1.9999936E+001, 1.9999855E+001, 1.9999854E+001, 1.9999848E+001, 1.9999847E+001, 1.9999851E+001, 1.9999853E+001, 1.9999851E+001, 6.6344326E-002, 4.2853047E-002, 4.3481050E-002, 4.3380286E-002, 4.2796045E-002, 4.2934691E-002, 2.3320932E-002, 2.0002165E+001, 2.2331080E-005, 2.0000002E+001, 4.3510647E-007, 2.0000000E+001,-8.6966060E-007, 2.0000000E+001,-8.6732371E-007, 2.0000000E+001,-8.7118121E-007, 2.0000000E+001,-8.4831539E-007,-8.6038752E-007,-8.4122710E-007, 9.5163871E-004, 9.5123186E-004, 6.0164861E-001
 2.0004000E+000, 1.4315477E+002, 8.2543376E+001, 1.9999829E+001, 1.9999509E+001, 1.9999501E+001, 1.9999500E+001, 1.9999446E+001, 1.9999501E+001, 1.9999497E+001, 1.9999500E+001, 7.5470426E-001, 1.1017923E-001, 1.0979961E-001, 1.1020199E-001, 1.0953274E-001, 1.0938662E-001, 4.4073608E-001, 2.0015557E+001, 6.8032223E-005, 2.0000005E+001, 1.2651743E-006, 2.0000000E+001,-2.7125560E-006, 2.0000000E+001,-2.6546448E-006, 2.0000000E+001,-2.6526013E-006, 2.0000000E+001,-2.5481771E-006,-2.6087792E-006,-2.6016921E-006, 2.3855476E-003, 2.3858199E-003, 8.0303160E-001
 2.5004000E+000, 2.7335100E+002, 1.3033081E+002, 6.4932503E+001, 2.1328189E+001, 1.9998724E+001, 1.9998721E+001, 1.9998258E+001, 1.9998721E+001, 1.9998721E+001, 1.9998721E+001, 1.4333587E+000, 2.3810256E-001, 2.2375541E-001, 2.7389383E-001, 2.2496806E-001, 2.2497683E-001, 1.5497806E+000, 2.0094179E+001, 5.3272160E-003, 2.0000062E+001, 3.2619081E-005, 2.0000001E+001,-5.9920745E-006, 1.9999999E+001,-6.2821236E-006, 2.0000000E+001,-6.2709174E-006, 1.9999999E+001,-7.8762456E-006,-6.1233670E-006,-6.1298067E-006, 4.7872769E-003, 4.8074013E-003, 1.1849521E+000
 3.0004000E+000, 3.3408160E+002, 1.6040736E+002, 1.2522999E+002, 9.1512451E+001, 3.5462783E+001, 1.9999143E+001, 1.9996793E+001, 1.9996743E+001, 1.9997179E+001, 1.9997235E+001, 1.4597352E+000, 1.3226174E+000, 4.1505422E-001, 6.1377220E-001, 4.3088135E-001, 4.1052379E-001, 1.2773251E+000, 2.0192765E+001, 5.6969128E-001, 2.0019583E+001, 7.2455166E-002, 2.0001054E+001,-2.3803159E-006, 1.9999999E+001,-1.2663588E-005, 1.9999999E+001,-1.2883342E-005, 1.9999999E+001,-9.2435410E-006,-1.2999199E-005,-1.2545129E-005, 8.7432765E-003, 8.6416278E-003, 1.7248207E+000
 3.5004000E+000, 2.9819722E+002, 4.7523293E+001, 5.3033630E+001, 9.4873118E+001, 8.8075104E+001, 7.9134795E+001, 3.5226893E+001, 2.5458552E+001, 2.0159104E+001, 1.9994259E+001, 6.6856906E-001, 1.9270375E+000, 1.2109233E+000, 8.8713158E-001, 7.9053912E-001, 6.4982874E-001, 6.1157025E-001, 2.0262093E+001, 7.5568630E-001, 2.0072364E+001, 5.6402886E-001, 2.0029030E+001, 1.5819784E-001, 2.0002955E+001, 6.6850331E-004, 2.0000007E+001,-3.1581251E-006, 1.9999998E+001, 1.5739406E-003, 3.3090579E-003, 1.0319406E-005, 1.2989975E-002, 1.2519659E-002, 1.6707722E+000
 4.0004000E+000, 5.3015557E+002, 8.0161696E+001, 6.1316410E+001, 6.9723715E+001, 5.8167703E+001, 6.4067879E+001, 5.6571788E+001, 5.4422814E+001, 4.5831110E+001, 3.6316410E+001, 1.0341765E+000, 1.1188333E+000, 1.2376636E+000, 1.2740823E+000, 9.2471894E-001, 9.5311594E-001, 5.4048636E-001, 2.0293585E+001, 4.7112138E-001, 2.0106232E+001, 3.0442429E-001, 2.0056913E+001, 3.9934470E-001, 2.0029644E+001, 2.7584767E-001, 2.0009451E+001, 6.8146991E-002, 2.0001313E+001, 1.6946115E-001, 2.9636907E-001, 1.1190075E-001, 1.5425892E-002, 1.4914855E-002, 1.5455898E+000
