s,C,C,C,C,C,C,C,C,C,C,m/s,m/s,m/s,m/s,m/s,m/s,kW/m2,C,kW/m2,C,kW/m2,C,kW/m2,C,kW/m2,C,kW/m2,C,kW/m2,kW/m2,kW/m2,kg/s,kg/s,kW
Time,"TC_Z020","TC_Z040","TC_Z060","TC_Z080","TC_Z100","TC_Z115","TC_Z135","TC_Z150","TC_Z165","TC_Z175","W_Z040","W_Z080","W_Z115","W_Z135","W_Z150","W_Z170","HFLUX_OUT_Z040","TWALL_OUT_Z040","HFLUX_OUT_Z080","TWALL_OUT_Z080","HFLUX_OUT_Z100","TWALL_OUT_Z100","HFLUX_OUT_Z135","TWALL_OUT_Z135","HFLUX_OUT_Z150","TWALL_OUT_Z150","HFLUX_OUT_Z170","TWALL_OUT_Z170","HFLUX_IN_Z135","HFLUX_IN_Z150","HFLUX_IN_Z170","MFLOW_UP_Z080","MFLOW_UP_Z150","HRR_TOTAL"
 0.0000000E+000, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 1.0336328E-002, 1.0472987E-002,-3.3794729E-003,-2.0503595E-003, 2.7170905E-003,-4.6619058E-003,-1.5804757E-004, 2.0000000E+001,-1.4754914E-004, 2.0000000E+001,-1.1617668E-004, 2.0000000E+001,-2.8762027E-004, 2.0000000E+001,-1.2233920E-004, 2.0000000E+001,-1.6168223E-004, 2.0000000E+001,-3.0184990E-004,-1.2246809E-004,-1.6533372E-004, 5.4824616E-005, 5.5086597E-005, 0.0000000E+000
 5.0501017E-001, 2.0000668E+001, 2.0000013E+001, 1.9999995E+001, 1.9999996E+001, 1.9999999E+001, 2.0000001E+001, 1.9999996E+001, 1.9999996E+001, 1.9999999E+001, 1.9999999E+001, 5.7308586E-003, 5.1783487E-003,-1.7228117E-003, 1.2909051E-003, 3.1155837E-003, 3.1932283E-004, 2.2451130E-003, 2.0000035E+001,-5.1231552E-007, 2.0000000E+001,-1.0589743E-006, 2.0000000E+001,-3.1524962E-006, 2.0000000E+001,-1.1920125E-006, 2.0000000E+001,-2.4573519E-006, 2.0000000E+001,-3.2104415E-006,-1.0748188E-006,-2.4657921E-006, 4.5075650E-005, 5.0825975E-005, 1.4809776E-001
 1.0029364E+000, 2.0128837E+001, 2.0000481E+001, 1.9999984E+001, 1.9999974E+001, 1.9999974E+001, 1.9999975E+001, 1.9999970E+001, 1.9999970E+001, 1.9999973E+001, 1.9999972E+001, 1.4325699E-002, 1.1605893E-002, 1.0170095E-002, 1.1773993E-002, 1.1808265E-002, 1.1414080E-002, 1.4246712E-002, 2.0000638E+001, 1.1545748E-005, 2.0000000E+001, 2.4046395E-007, 2.0000000E+001,-1.9055323E-007, 2.0000000E+001,-1.9346276E-007, 2.0000000E+001,-1.8697525E-007, 2.0000000E+001,-1.6274685E-007,-1.7843019E-007,-1.6195481E-007, 2.6098934E-004, 2.5118684E-004, 4.6313325E-001
 1.5000173E+000, 1.1623512E+002, 2.1938656E+001, 1.9999922E+001, 1.9999857E+001, 1.9999857E+001, 1.9999851E+001, 1.9999853E+001, 1.9999853E+001, 1.9999855E+001, 1.9999851E+001, 5.5730642E-002, 4.2337070E-002, 4.3112807E-002, 4.2715625E-002, 4.2579156E-002, 4.2343221E-002, 7.0373434E-002, 2.0002651E+001, 2.2496059E-005, 2.0000002E+001, 3.5087261E-007, 2.0000000E+001,-8.7679549E-007, 2.0000000E+001,-8.6357639E-007, 2.0000000E+001,-8.5936214E-007, 2.0000000E+001,-8.1302608E-007,-8.3535708E-007,-8.2822029E-007, 9.4169505E-004, 9.4020448E-004, 6.3523277E-001
 2.0010870E+000, 1.1799706E+002, 8.6379031E+001, 2.0062196E+001, 1.9999510E+001, 1.9999503E+001, 1.9999500E+001, 1.9999434E+001, 1.9999501E+001, 1.9999503E+001, 1.9999497E+001, 5.8790327E-001, 1.1185281E-001, 1.1185845E-001, 1.1179072E-001, 1.1157728E-001, 1.1139346E-001, 5.1946077E-001, 2.0026081E+001, 6.3195881E-005, 2.0000004E+001, 6.4173402E-007, 2.0000000E+001,-2.7295615E-006, 2.0000000E+001,-2.6631794E-006, 2.0000000E+001,-2.6562100E-006, 2.0000000E+001,-2.5442859E-006,-2.6059411E-006,-2.5944386E-006, 2.4302574E-003, 2.4292139E-003, 8.8168473E-001
 2.5009492E+000, 2.1741112E+002, 6.3578691E+001, 7.1953014E+001, 2.6162529E+001, 1.9998695E+001, 1.9998694E+001, 1.9998220E+001, 1.9998693E+001, 1.9998695E+001, 1.9998690E+001, 8.8715478E-001, 2.7078043E-001, 2.3388891E-001, 2.8723368E-001, 2.3529618E-001, 2.3511385E-001, 5.9280008E-001, 2.0073704E+001, 1.4913261E-002, 2.0000153E+001, 6.4094590E-005, 2.0000001E+001,-6.0654554E-006, 1.9999999E+001,-6.4655400E-006, 1.9999999E+001,-6.4709822E-006, 1.9999999E+001,-8.0680683E-006,-6.3307599E-006,-6.3236948E-006, 4.8837410E-003, 5.0390676E-003, 1.1733579E+000
 3.0009961E+000, 2.0157715E+002, 8.2677013E+001, 7.3623800E+001, 6.9427040E+001, 4.8512444E+001, 2.4475830E+001, 1.9996762E+001, 1.9996647E+001, 1.9997093E+001, 1.9997160E+001, 7.3779513E-001, 9.3539665E-001, 4.4883459E-001, 6.2678680E-001, 4.3940026E-001, 4.1700908E-001, 7.2954672E-001, 2.0110816E+001, 4.8445908E-001, 2.0022399E+001, 1.7493347E-001, 2.0003138E+001, 5.5882593E-006, 1.9999999E+001,-1.3114490E-005, 1.9999999E+001,-1.3219484E-005, 1.9999999E+001,-7.2813665E-006,-1.3193044E-005,-1.2861092E-005, 8.5451725E-003, 8.7655201E-003, 1.6157179E+000
 3.5002184E+000, 2.0634958E+002, 4.5853984E+001, 7.8229752E+001, 9.5921632E+001, 7.9580543E+001, 7.8267913E+001, 3.5234946E+001, 2.9912626E+001, 2.3814072E+001, 1.9994038E+001, 5.4479080E-001, 1.4361464E+000, 1.2436402E+000, 9.2093311E-001, 8.3598219E-001, 6.9491591E-001, 4.0560493E-001, 2.0148288E+001, 7.6391435E-001, 2.0069830E+001, 4.9550592E-001, 2.0030074E+001, 2.3062100E-001, 2.0005561E+001, 2.0886005E-002, 2.0000290E+001, 2.6197850E-005, 1.9999998E+001, 9.0055050E-003, 3.1757436E-002, 3.6932730E-005, 1.3761469E-002, 1.3043628E-002, 1.7996391E+000
 4.0000974E+000, 6.1242727E+002, 1.0374203E+002, 3.9910978E+001, 5.5288874E+001, 7.2166408E+001, 8.3397128E+001, 6.0558030E+001, 5.7769610E+001, 4.9061802E+001, 3.9920804E+001, 1.0027815E+000, 9.6827088E-001, 1.3202982E+000, 1.1474813E+000, 9.2896335E-001, 9.5025575E-001, 4.7664693E-001, 2.0172204E+001, 3.2954101E-001, 2.0101927E+001, 4.8240583E-001, 2.0065162E+001, 4.9850768E-001, 2.0036976E+001, 3.6769875E-001, 2.0015460E+001, 1.4674764E-001, 2.0003931E+001, 2.1353563E-001, 2.7935809E-001, 1.4127212E-001, 1.7662916E-002, 1.5711095E-002, 1.8686180E+000
