s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_PROPANE,MLR_PRODUCTS
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.1830557E-006,-4.4667641E-012, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.1830601E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.0029364E+000, 3.0450292E-001, 0.0000000E+000,-9.9776817E-002, 2.3121724E-003,-6.0929919E-002,-2.0948524E-005, 0.0000000E+000, 0.0000000E+000, 1.4482138E-001, 1.4608741E-001, 0.0000000E+000, 6.8660052E-006, 0.0000000E+000
 2.0010870E+000, 7.5895117E-001, 0.0000000E+000,-2.2779247E-001, 4.1451773E-003,-2.7688331E-001,-5.5433825E-005, 0.0000000E+000, 0.0000000E+000, 2.5842844E-001, 2.5836513E-001, 0.0000000E+000, 2.0483562E-005, 0.0000000E+000
 3.0009961E+000, 1.3945788E+000, 0.0000000E+000,-4.1650531E-001, 8.8855948E-003,-4.3875082E-001,-8.2783662E-005, 0.0000000E+000, 0.0000000E+000, 5.4940950E-001, 5.4812544E-001, 0.0000000E+000, 3.4092754E-005, 0.0000000E+000
 4.0000973E+000, 1.8341512E+000, 0.0000000E+000,-5.6639561E-001,-4.0179542E-003,-7.0456246E-001,-1.0753463E-004, 0.0000000E+000, 0.0000000E+000, 5.6217690E-001, 5.5906767E-001, 0.0000000E+000, 4.7710843E-005, 0.0000000E+000
 5.0001001E+000, 2.0674119E+000, 0.0000000E+000,-6.4012539E-001,-5.0957669E-001,-8.2202291E-001,-1.1496524E-004, 0.0000000E+000, 0.0000000E+000, 1.0899413E-001, 9.5571948E-002, 0.0000000E+000, 6.1332053E-005, 0.0000000E+000
 6.0008783E+000, 2.1206131E+000, 0.0000000E+000,-6.8052565E-001,-5.6354414E-001,-8.2133174E-001,-1.0521363E-004, 0.0000000E+000, 0.0000000E+000, 7.1076108E-002, 5.5106363E-002, 0.0000000E+000, 7.4962877E-005, 0.0000000E+000
 7.0005093E+000, 2.4254515E+000, 0.0000000E+000,-8.0637259E-001,-6.6333107E-001,-9.0991569E-001,-9.4103756E-005, 0.0000000E+000, 0.0000000E+000, 6.1574729E-002, 4.5738029E-002, 0.0000000E+000, 8.8592863E-005, 0.0000000E+000
 8.0004005E+000, 2.4540088E+000, 0.0000000E+000,-8.1071204E-001,-7.3461670E-001,-9.2978769E-001,-5.6626264E-005, 0.0000000E+000, 0.0000000E+000,-5.1213021E-003,-2.1164285E-002, 0.0000000E+000, 1.0221617E-004, 0.0000000E+000
 9.0003929E+000, 2.8639428E+000, 0.0000000E+000,-9.4586029E-001,-7.8210178E-001,-1.0297357E+000,-3.4423150E-005, 0.0000000E+000, 0.0000000E+000, 1.2383294E-001, 1.0621063E-001, 0.0000000E+000, 1.1584212E-004, 0.0000000E+000
 1.0000062E+001, 3.8459196E+000, 0.0000000E+000,-1.2280979E+000,-8.9159760E-001,-1.2237275E+000,-2.0680950E-005, 0.0000000E+000, 0.0000000E+000, 5.2260874E-001, 5.0247599E-001, 0.0000000E+000, 1.2946596E-004, 0.0000000E+000
 1.1000351E+001, 4.6158682E+000, 0.0000000E+000,-1.4858560E+000,-1.3668157E+000,-1.4856755E+000,-1.3876219E-005, 0.0000000E+000, 0.0000000E+000, 3.0719220E-001, 2.7750715E-001, 0.0000000E+000, 1.3627035E-004, 0.0000000E+000
 1.2000551E+001, 5.3571922E+000, 0.0000000E+000,-1.7299303E+000,-1.6919813E+000,-1.7611349E+000,-1.1841078E-005, 0.0000000E+000, 0.0000000E+000, 2.1365440E-001, 1.7413389E-001, 0.0000000E+000, 1.3627035E-004, 0.0000000E+000
