s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_PROPANE,MLR_PRODUCTS
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.2604892E-006, 4.8596597E-011, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.2604407E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.0030854E+000, 3.0095925E-001, 0.0000000E+000,-1.0569329E-001, 2.6137370E-003,-2.5314443E-002,-2.1077967E-005, 0.0000000E+000, 0.0000000E+000, 1.6926065E-001, 1.7254418E-001, 0.0000000E+000, 6.8927878E-006, 0.0000000E+000
 2.0025661E+000, 8.8727080E-001, 0.0000000E+000,-2.7952518E-001, 7.1057984E-003,-1.7838369E-001,-5.9040698E-005, 0.0000000E+000, 0.0000000E+000, 4.3553878E-001, 4.3640869E-001, 0.0000000E+000, 2.0501554E-005, 0.0000000E+000
 3.0027637E+000, 1.3355338E+000, 0.0000000E+000,-3.9589088E-001, 9.7557167E-003,-3.5068293E-001,-9.1714775E-005, 0.0000000E+000, 0.0000000E+000, 5.9813334E-001, 5.9862399E-001, 0.0000000E+000, 3.4121393E-005, 0.0000000E+000
 4.0022383E+000, 2.1374829E+000, 0.0000000E+000,-6.4447394E-001,-2.3972382E-001,-6.1516343E-001,-1.2529154E-004, 0.0000000E+000, 0.0000000E+000, 6.4518293E-001, 6.3799643E-001, 0.0000000E+000, 4.7745495E-005, 0.0000000E+000
 5.0002313E+000, 2.6822928E+000, 0.0000000E+000,-8.1073497E-001,-8.2840146E-001,-8.3080744E-001,-1.5486062E-004, 0.0000000E+000, 0.0000000E+000, 2.4236470E-001, 2.1219408E-001, 0.0000000E+000, 6.1352514E-005, 0.0000000E+000
 6.0011411E+000, 2.1904872E+000, 0.0000000E+000,-6.6884525E-001,-1.0465454E+000,-7.2799451E-001,-1.5336583E-004, 0.0000000E+000, 0.0000000E+000,-2.2179647E-001,-2.5305129E-001, 0.0000000E+000, 7.4975082E-005, 0.0000000E+000
 7.0003529E+000, 2.9958247E+000, 0.0000000E+000,-9.0447525E-001,-8.1925489E-001,-8.5660326E-001,-1.5035659E-004, 0.0000000E+000, 0.0000000E+000, 4.3858701E-001, 4.1534094E-001, 0.0000000E+000, 8.8596763E-005, 0.0000000E+000
 8.0012636E+000, 3.1450812E+000, 0.0000000E+000,-9.7675358E-001,-1.4271272E+000,-9.1673683E-001,-1.2632841E-004, 0.0000000E+000, 0.0000000E+000,-1.3364407E-001,-1.7566281E-001, 0.0000000E+000, 1.0222788E-004, 0.0000000E+000
 9.0003471E+000, 2.9328319E+000, 0.0000000E+000,-9.0404833E-001,-1.0660853E+000,-8.2175502E-001,-9.3218354E-005, 0.0000000E+000, 0.0000000E+000, 1.7009564E-001, 1.4085002E-001, 0.0000000E+000, 1.1585619E-004, 0.0000000E+000
 1.0000979E+001, 4.1509156E+000, 0.0000000E+000,-1.2669948E+000,-1.3296976E+000,-1.0422650E+000,-8.2354477E-005, 0.0000000E+000, 0.0000000E+000, 5.4495574E-001, 5.1187580E-001, 0.0000000E+000, 1.2947639E-004, 0.0000000E+000
