s,C,C,C,C,C,C,C,C,C,C,m/s,m/s,m/s,m/s,m/s,m/s,kW/m2,C,kW/m2,C,kW/m2,C,kW/m2,C,kW/m2,C,kW/m2,C,kW/m2,kW/m2,kW/m2,kg/s,kg/s,kW
Time,"TC_Z020","TC_Z040","TC_Z060","TC_Z080","TC_Z100","TC_Z115","TC_Z135","TC_Z150","TC_Z165","TC_Z175","W_Z040","W_Z080","W_Z115","W_Z135","W_Z150","W_Z170","HFLUX_OUT_Z040","TWALL_OUT_Z040","HFLUX_OUT_Z080","TWALL_OUT_Z080","HFLUX_OUT_Z100","TWALL_OUT_Z100","HFLUX_OUT_Z135","TWALL_OUT_Z135","HFLUX_OUT_Z150","TWALL_OUT_Z150","HFLUX_OUT_Z170","TWALL_OUT_Z170","HFLUX_IN_Z135","HFLUX_IN_Z150","HFLUX_IN_Z170","MFLOW_UP_Z080","MFLOW_UP_Z150","HRR_TOTAL"
 0.0000000E+000, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 5.8697024E-003,-4.0797357E-003, 2.7343847E-003, 1.2554213E-002, 4.3470665E-003, 1.8656111E-003,-2.1491473E-005, 2.0000000E+001,-2.1524537E-005, 2.0000000E+001,-2.1465222E-005, 2.0000000E+001,-2.1500982E-005, 2.0000000E+001,-2.0642906E-005, 2.0000000E+001,-1.5745944E-005, 2.0000000E+001,-2.4104326E-005,-2.3293462E-005,-1.7998390E-005, 6.9236983E-005, 5.4105232E-005, 0.0000000E+000
 5.0716865E-001, 2.0000354E+001, 2.0000026E+001, 1.9999994E+001, 2.0000010E+001, 1.9999994E+001, 2.0000003E+001, 1.9999989E+001, 1.9999996E+001, 2.0000004E+001, 2.0000000E+001, 4.7624176E-003,-3.5372614E-003, 2.2294177E-003, 1.0442748E-002, 3.7412491E-003, 1.0541495E-003, 1.3936951E-003, 2.0000018E+001, 2.1854085E-005, 2.0000000E+001, 1.6941029E-006, 2.0000000E+001,-6.8830928E-008, 2.0000000E+001,-4.5861594E-008, 2.0000000E+001,-1.1056196E-007, 2.0000000E+001,-8.8520635E-008,-7.2992684E-008,-6.0675162E-008, 5.6592770E-005, 4.4414735E-005, 1.4378509E-001
 1.0024127E+000, 2.6113180E+001, 2.0001674E+001, 2.0000137E+001, 2.0000016E+001, 1.9999983E+001, 2.0000007E+001, 1.9999980E+001, 1.9999991E+001, 2.0000006E+001, 2.0000000E+001, 3.0493541E-002, 6.0175702E-003, 3.0304107E-003, 7.9031346E-003, 2.8443382E-003, 1.5237487E-004, 2.0494134E-002, 2.0000714E+001, 2.5433052E-004, 2.0000009E+001, 2.0410128E-005, 2.0000001E+001, 2.8775480E-007, 2.0000000E+001, 1.0773573E-007, 2.0000000E+001,-7.8886574E-008, 2.0000000E+001, 6.4045048E-008, 7.3776334E-008, 1.4289781E-008, 2.1457419E-004, 3.2288886E-005, 4.6961930E-001
 1.5032956E+000, 2.0148502E+002, 7.5835533E+001, 2.0000925E+001, 1.9999891E+001, 1.9999855E+001, 1.9999908E+001, 1.9999906E+001, 1.9999924E+001, 1.9999938E+001, 1.9999935E+001, 6.1518671E-001, 6.7659143E-002, 5.5918417E-002, 5.6543721E-002, 5.1439252E-002, 4.7946253E-002, 2.9435886E-001, 2.0007184E+001, 5.8702538E-004, 2.0000037E+001, 4.7584913E-005, 2.0000003E+001, 3.3106803E-007, 2.0000000E+001,-1.5321374E-007, 2.0000000E+001,-3.2605394E-007, 2.0000000E+001,-1.8776641E-007,-1.9101510E-007,-2.7299320E-007, 1.5373961E-003, 1.1696001E-003, 7.4527025E-001
 2.0011738E+000, 2.0314670E+002, 1.2700103E+002, 1.1326686E+002, 4.9074380E+001, 2.1053825E+001, 1.9999319E+001, 1.9999112E+001, 1.9999325E+001, 1.9999371E+001, 1.9999357E+001, 1.6871785E+000, 6.2866993E-001, 1.8855674E-001, 2.1915457E-001, 1.9376859E-001, 1.9250637E-001, 8.5949288E-001, 2.0057595E+001, 6.6549634E-002, 2.0000885E+001, 2.8886089E-004, 2.0000011E+001, 1.5772678E-006, 2.0000000E+001,-2.2350250E-006, 2.0000000E+001,-2.7171200E-006, 2.0000000E+001,-1.7683570E-006,-2.5789478E-006,-2.8230892E-006, 4.2382303E-003, 4.3866967E-003, 1.0742772E+000
 2.5043267E+000, 1.4716554E+002, 1.4578894E+002, 7.8681437E+001, 7.5844775E+001, 6.8088145E+001, 4.9717864E+001, 2.3235286E+001, 1.9997693E+001, 1.9997973E+001, 1.9998003E+001, 1.3884955E+000, 1.3528786E+000, 6.3648916E-001, 4.9825289E-001, 4.0914839E-001, 3.8096884E-001, 8.4863577E-001, 2.0111225E+001, 3.0855994E-001, 2.0018484E+001, 1.7088729E-001, 2.0005329E+001, 2.0180530E-002, 2.0000291E+001, 8.1951341E-006, 2.0000000E+001,-6.8389207E-006, 2.0000000E+001, 2.5873025E-004, 7.8422096E-006,-5.5670379E-006, 1.0475978E-002, 8.5562607E-003, 1.2941465E+000
 3.0028547E+000, 3.4158227E+002, 9.1698111E+001, 9.5599573E+001, 7.8899622E+001, 7.2761467E+001, 5.6966203E+001, 4.4515980E+001, 3.5953811E+001, 2.4868456E+001, 2.1407974E+001, 1.2026349E+000, 1.3929955E+000, 7.5176252E-001, 6.5826731E-001, 6.8715757E-001, 6.7609634E-001, 5.3260474E-001, 2.0157902E+001, 2.6311562E-001, 2.0036954E+001, 3.1101447E-001, 2.0025593E+001, 2.3011618E-001, 2.0008787E+001, 1.0089208E-001, 2.0002200E+001, 1.8546245E-003, 2.0000022E+001, 1.8526962E-002, 2.3996196E-002, 1.3981118E-003, 1.3896381E-002, 1.3172668E-002, 1.7988148E+000
 3.5026043E+000, 7.1846785E+002, 2.5872576E+002, 1.4535423E+002, 1.1171106E+002, 9.4469978E+001, 8.9003041E+001, 5.3711238E+001, 4.7282418E+001, 5.3223334E+001, 4.8470164E+001, 2.1483954E+000, 2.1325592E+000, 1.5087259E+000, 9.7322802E-001, 8.6977422E-001, 8.6566886E-001, 1.6783459E+000, 2.0240700E+001, 4.5006569E-001, 2.0061044E+001, 3.8647005E-001, 2.0046610E+001, 2.9016722E-001, 2.0025955E+001, 1.7610405E-001, 2.0014812E+001, 1.2705738E-001, 2.0004472E+001, 9.0136043E-002, 1.3580976E-001, 1.1032608E-001, 1.6365761E-002, 1.6681665E-002, 1.6427946E+000
 4.0012639E+000, 8.0784231E+002, 4.7186629E+002, 2.6137673E+002, 1.4657181E+002, 1.1492327E+002, 8.7982285E+001, 7.2782584E+001, 7.1499063E+001, 6.8569395E+001, 6.2572200E+001, 2.3888142E+000, 2.3960997E+000, 1.9399755E+000, 1.1030266E+000, 9.4171329E-001, 1.1956083E+000, 4.8326448E+000, 2.0517099E+001, 1.0514308E+000, 2.0110979E+001, 5.5929038E-001, 2.0078588E+001, 4.7445203E-001, 2.0057032E+001, 3.8642755E-001, 2.0035687E+001, 2.6341360E-001, 2.0018492E+001, 2.0387549E-001, 2.2899593E-001, 1.8866010E-001, 1.9169979E-002, 1.9370229E-002, 2.3250609E+000
