s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_PROPANE,MLR_PRODUCTS
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.7544893E-007, 1.7558863E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.7527335E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.0024127E+000, 3.0476415E-001, 0.0000000E+000,-1.1281592E-001, 3.0041824E-003,-1.7093787E-002,-2.0829437E-005, 0.0000000E+000, 0.0000000E+000, 1.7192159E-001, 1.7783779E-001, 0.0000000E+000, 6.9329024E-006, 0.0000000E+000
 2.0011737E+000, 9.0927886E-001, 0.0000000E+000,-3.0132993E-001, 8.1905652E-003,-1.1914782E-001,-5.9047353E-005, 0.0000000E+000, 0.0000000E+000, 4.9495306E-001, 4.9693264E-001, 0.0000000E+000, 2.0501577E-005, 0.0000000E+000
 3.0028548E+000, 1.5453156E+000, 0.0000000E+000,-4.6737182E-001, 1.2993799E-002,-3.2712884E-001,-9.3468437E-005, 0.0000000E+000, 0.0000000E+000, 7.5943438E-001, 7.6371528E-001, 0.0000000E+000, 3.4135175E-005, 0.0000000E+000
 4.0012641E+000, 1.9835553E+000, 0.0000000E+000,-5.9730749E-001,-3.1936348E-001,-5.9765993E-001,-1.2638814E-004, 0.0000000E+000, 0.0000000E+000, 4.9235800E-001, 4.6909804E-001, 0.0000000E+000, 4.7760073E-005, 0.0000000E+000
 5.0002966E+000, 2.6006840E+000, 0.0000000E+000,-7.8242154E-001,-9.7002344E-001,-7.7729746E-001,-1.5472569E-004, 0.0000000E+000, 0.0000000E+000, 1.1543876E-001, 7.0786868E-002, 0.0000000E+000, 6.1360707E-005, 0.0000000E+000
 6.0034137E+000, 2.4607720E+000, 0.0000000E+000,-7.2435609E-001,-1.0912317E+000,-7.6793994E-001,-1.6718735E-004, 0.0000000E+000, 0.0000000E+000,-8.1648008E-002,-1.2292295E-001, 0.0000000E+000, 7.5002576E-005, 0.0000000E+000
 7.0015993E+000, 4.4303054E+000, 0.0000000E+000,-1.3206851E+000,-1.1623679E+000,-1.0223722E+000,-2.0021245E-004, 0.0000000E+000, 0.0000000E+000, 9.5088866E-001, 9.2468001E-001, 0.0000000E+000, 8.8631871E-005, 0.0000000E+000
 8.0007505E+000, 2.4805928E+000, 0.0000000E+000,-7.5428957E-001,-1.7375141E+000,-9.1010840E-001,-1.7675269E-004, 0.0000000E+000, 0.0000000E+000,-8.5328549E-001,-9.2149596E-001, 0.0000000E+000, 1.0224891E-004, 0.0000000E+000
 9.0026579E+000, 3.6595712E+000, 0.0000000E+000,-1.0870781E+000,-1.3157568E+000,-9.8022816E-001,-1.6450097E-004, 0.0000000E+000, 0.0000000E+000, 3.4340525E-001, 2.7634352E-001, 0.0000000E+000, 1.1587748E-004, 0.0000000E+000
 1.0001640E+001, 4.2296383E+000, 0.0000000E+000,-1.2687519E+000,-1.4820100E+000,-1.0249536E+000,-1.4277354E-004, 0.0000000E+000, 0.0000000E+000, 4.9477828E-001, 4.5377997E-001, 0.0000000E+000, 1.2950688E-004, 0.0000000E+000
 1.1002826E+001, 4.5224323E+000, 0.0000000E+000,-1.3704085E+000,-1.9549307E+000,-1.1868324E+000,-1.2661117E-004, 0.0000000E+000, 0.0000000E+000, 6.6331489E-002, 1.0134078E-002, 0.0000000E+000, 1.3627035E-004, 0.0000000E+000
 1.2000035E+001, 5.3341325E+000, 0.0000000E+000,-1.6161864E+000,-2.2489172E+000,-1.3172889E+000,-1.1642876E-004, 0.0000000E+000, 0.0000000E+000, 2.3181174E-001, 1.5162351E-001, 0.0000000E+000, 1.3627035E-004, 0.0000000E+000
 1.3000695E+001, 6.6095701E+000, 0.0000000E+000,-1.9989362E+000,-2.6794832E+000,-1.5295901E+000,-1.1839525E-004, 0.0000000E+000, 0.0000000E+000, 4.8144280E-001, 4.0144229E-001, 0.0000000E+000, 1.3627035E-004, 0.0000000E+000
 1.4002248E+001, 6.3923777E+000, 0.0000000E+000,-1.9251647E+000,-3.1640210E+000,-1.6414147E+000,-1.2381969E-004, 0.0000000E+000, 0.0000000E+000,-2.3725916E-001,-3.3834658E-001, 0.0000000E+000, 1.3627035E-004, 0.0000000E+000
 1.5001149E+001, 6.2996656E+000, 0.0000000E+000,-1.9105582E+000,-2.8161763E+000,-1.6352582E+000,-1.2568911E-004, 0.0000000E+000, 0.0000000E+000, 4.6308058E-002,-6.2452706E-002, 0.0000000E+000, 1.3627035E-004, 0.0000000E+000
 1.6000051E+001, 6.0297052E+000, 0.0000000E+000,-1.8205753E+000,-2.7691371E+000,-1.5107824E+000,-1.2778967E-004, 0.0000000E+000, 0.0000000E+000, 5.9658095E-003,-7.0917267E-002, 0.0000000E+000, 1.3627035E-004, 0.0000000E+000
 1.7002384E+001, 6.1995126E+000, 0.0000000E+000,-1.8714138E+000,-2.8402336E+000,-1.5145235E+000,-1.2487983E-004, 0.0000000E+000, 0.0000000E+000, 5.6222019E-002,-2.6783219E-002, 0.0000000E+000, 1.3627035E-004, 0.0000000E+000
 1.8000254E+001, 6.1455221E+000, 0.0000000E+000,-1.8667278E+000,-2.9461860E+000,-1.5791502E+000,-1.2866513E-004, 0.0000000E+000, 0.0000000E+000,-1.4691254E-001,-2.4667051E-001, 0.0000000E+000, 1.3627035E-004, 0.0000000E+000
